,<http://dbpedia.org/ontology/battle>,<http://dbpedia.org/ontology/allegiance>,<http://dbpedia.org/ontology/birthDate>,<http://dbpedia.org/ontology/birthPlace>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/deathYear>,<http://dbpedia.org/ontology/occupation>,<http://dbpedia.org/ontology/deathDate>,<http://dbpedia.org/ontology/serviceStartYear>,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/commander>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/serviceEndYear>,<http://dbpedia.org/ontology/deathPlace>,<http://xmlns.com/foaf/0.1/givenName>,<http://dbpedia.org/ontology/birthYear>,<http://dbpedia.org/ontology/militaryCommand>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://purl.org/dc/elements/1.1/description>,<http://xmlns.com/foaf/0.1/surname>,<http://dbpedia.org/ontology/award>,<http://xmlns.com/foaf/0.1/depiction>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Marshal110295951>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Organism100004475>,X,,,,X,,,,,,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/militaryCommand>:-:""Commander in Chief, Air Headquarters India""",X,,,,X,,,,,X,,,,,,,,X,X,X,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Royal_Flying_Corps_officers>,X,,,,X,,X,,,,X,,,,,,,X,X,X,,X,
"<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Bampton,_Oxfordshire>",X,,,,X,,X,,,,,,,,X,,,,X,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Sir Charles Roderick Carr""@en",X,,,,X,,,,,X,,X,X,,,X,,,X,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Worker109632518>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Royal_Air_Force_personnel_of_World_War_I>,X,,,,X,,X,,,X,X,,,,,,,X,X,X,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:New_Zealand_knights>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:New_Zealand_military_personnel>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Serviceman110582746>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1971_deaths>,X,,,,X,X,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Companion109945905>,X,,,,X,,,,,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/award>:-:<http://dbpedia.org/resource/Order_of_the_Bath>,X,,,,X,,X,,,,X,,,,,,,,X,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Royal_Air_Force_personnel_of_the_Russian_Civil_War>,X,,,,X,,X,,,X,X,,,,,,,X,X,X,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:People_from_Manawatu-Wanganui>,X,,,,X,,,,,,,,,,,,,,X,,,,
