,<http://dbpedia.org/ontology/type>,<http://dbpedia.org/ontology/genre>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/runtime>,<http://dbpedia.org/ontology/producer>,<http://dbpedia.org/ontology/previousWork>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/recordedIn>,<http://dbpedia.org/ontology/subsequentWork>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/artist>,<http://dbpedia.org/ontology/recordLabel>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,X,,,,X,,,
<http://dbpedia.org/ontology/type>:-:<http://dbpedia.org/resource/Album>,X,,,,,X,,,,X,,,
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/Invisible_Tape>,,,,,,X,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,X,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Instrumentality103575240>,,,,,,X,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/MusicalWork>,,,,,,X,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Work>,,,,,,X,,,,X,,,
<http://dbpedia.org/ontology/subsequentWork>:-:<http://dbpedia.org/resource/Invisible_Tape>,,,,,,X,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Album106591815>,X,,,,,X,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Medium106254669>,,,,,,X,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/2009Albums>,X,,,,,X,X,,,X,,,
<http://dbpedia.org/ontology/recordLabel>:-:<http://dbpedia.org/resource/Scared_Records>,,,,,,X,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/CreativeWork>,,,,,,X,,,,X,,,
<http://dbpedia.org/ontology/recordedIn>:-:<http://dbpedia.org/resource/New_York>,,,,,,X,,X,,,,,
"<http://dbpedia.org/ontology/runtime>:-:""3259.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,X,,X,,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Wide Awake Drunk""@en",,,X,,,X,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:2009_albums>,X,,,,,X,X,,,X,,,
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/Fluke_EP>,,,,,,X,,,,,,,
<http://dbpedia.org/ontology/producer>:-:<http://dbpedia.org/resource/Stan_Satin>,,,,,X,X,,,,,,,
<http://dbpedia.org/ontology/recordedIn>:-:<http://dbpedia.org/resource/Atlanta>,,,,,,X,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Album>,X,,,,,X,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,X,,,,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Wide Awake Drunk""@en",,,X,,,X,,,,,X,,
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Indie_folk>,,X,,,,X,,,,,,,
<http://dbpedia.org/ontology/artist>:-:<http://dbpedia.org/resource/Greg_Connors>,,,,,,X,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/MusicAlbum>,X,,,,,X,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Artifact100021939>,,,,,,X,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,X,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q482994>,,,,,,X,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q386724>,,,,,,X,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q2188189>,,,,,,X,,,,X,,,
