,<http://data.linkedmdb.org/resource/movie/story_contributor>,<http://data.linkedmdb.org/resource/movie/genre>,<http://data.linkedmdb.org/resource/movie/writer>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://data.linkedmdb.org/resource/movie/producer>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/language>,<http://xmlns.com/foaf/0.1/page>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/film_story_contributor>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/film_art_director>,<http://data.linkedmdb.org/resource/movie/performance>
"<http://purl.org/dc/terms/title>:-:""Men in White""",,,,,,,,X,,X,,,X,,,,
<http://data.linkedmdb.org/resource/movie/genre>:-:<http://data.linkedmdb.org/resource/film_genre/4>,X,X,,,,,X,X,,X,,,X,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,X,X,,,,,X,X,,,,,X,X,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/82>,,,,X,,,,X,,,,,X,,X,X,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f80000000047968f5>,,,,,,,,,,,X,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/29977>,,,,,,,,X,X,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/728>,,,,,,,,X,X,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/61226>,,,,,,,,X,X,,,,X,,,,
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""12398""^^<http://www.w3.org/2001/XMLSchema#int>",,,,,X,,,X,,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/38458>,,,,,,,,X,X,,,,X,,,,
