,<http://data.linkedmdb.org/resource/movie/story_contributor>,<http://data.linkedmdb.org/resource/movie/editor>,<http://data.linkedmdb.org/resource/movie/film_cut>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://xmlns.com/foaf/0.1/page>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/language>,<http://data.linkedmdb.org/resource/movie/runtime>,<http://dbpedia.org/property/hasPhotoCollection>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/film_story_contributor>,<http://data.linkedmdb.org/resource/movie/performance>
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/31700>,,,,,,,,X,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/589>,,,,,,,,X,,,,,,,
<http://data.linkedmdb.org/resource/movie/film_story_contributor>:-:<http://data.linkedmdb.org/resource/film_story_contributor/255>,X,,X,,,X,,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,X,,X,,,X,,,,,,,,X,
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""12710""^^<http://www.w3.org/2001/XMLSchema#int>",,,,X,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/story_contributor>:-:<http://data.linkedmdb.org/resource/film_story_contributor/255>,X,,X,,,X,,,,,,,,X,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/71732>,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/editor>:-:<http://data.linkedmdb.org/resource/editor/2661>,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/42566>,,,,,,,,,,,,X,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/43619>,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/5500>,,,,,,,,,,,,X,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/24033>,,,,,,,,,,,,X,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/74410>,,,,,,,,,,,,X,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/52344>,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/42768>,,,,,,,,X,,,,,,,
"<http://purl.org/dc/terms/title>:-:""Megaville""",,,,,,,X,,,,X,,X,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/44800>,,,,,,,,X,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/70367>,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/en>,,,,,,,,,X,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/72428>,,,,,,,,,,,,,,,X
"<http://data.linkedmdb.org/resource/movie/runtime>:-:""95""",,,,,,,,,,X,,,,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f80000000047ba60d>,,,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/144038>,,,,,,,,,,,,X,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/77413>,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/585>,,,,,,,,X,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/10117>,,,,,,,,X,,,,,,,
<http://data.linkedmdb.org/resource/movie/film_cut>:-:<http://data.linkedmdb.org/resource/film_cut/18945>,X,,X,,,X,,,,,,,,X,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Megaville""",,,,,,,X,,,,X,,X,,
<http://dbpedia.org/property/hasPhotoCollection>:-:<http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Megaville>,,,,,,,X,,,,X,,X,,
