,<http://data.linkedmdb.org/resource/movie/editor>,<http://data.linkedmdb.org/resource/movie/film_cut>,<http://xmlns.com/foaf/0.1/page>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://data.linkedmdb.org/resource/movie/producer>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://data.linkedmdb.org/resource/movie/sequel>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/language>,<http://data.linkedmdb.org/resource/movie/runtime>,<http://purl.org/dc/terms/date>,<http://dbpedia.org/property/hasPhotoCollection>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/prequel>,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://data.linkedmdb.org/resource/movie/performance>
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/1167>,,,X,,,,,,,X,,,,,,,,,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/10044>,,,X,X,,,,,,,,,,,,,X,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/100255>,,,X,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/prequel>:-:<http://data.linkedmdb.org/resource/film/47754>,,X,X,,,,,X,,,,,,,X,,,X,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/10044>,,,X,X,,,,,,,,,,,,,X,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/32040>,,,X,,,,,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/100254>,,,X,,,,,,,,,,,,,,,,,X
"<http://purl.org/dc/terms/title>:-:""Now You See Him, Now You Don't""",,,,,,,,,X,,,,,X,,X,,,,
<http://data.linkedmdb.org/resource/movie/prequel>:-:<http://data.linkedmdb.org/resource/film/14630>,,X,X,,,,,X,,,,,,,X,,,X,,
"<http://dbpedia.org/property/hasPhotoCollection>:-:<http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Now_You_See_Him,_Now_You_Don't>",,,,,,,,,X,,,,,X,,X,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/34407>,,,X,,,,,,,X,,,,,,,,,,
