,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://data.linkedmdb.org/resource/movie/film_cut>,<http://xmlns.com/foaf/0.1/page>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://data.linkedmdb.org/resource/movie/producer>,<http://data.linkedmdb.org/resource/movie/sequel>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/language>,<http://data.linkedmdb.org/resource/movie/runtime>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://purl.org/dc/terms/date>,<http://data.linkedmdb.org/resource/movie/writer>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/film_of_distributor>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/prequel>,<http://data.linkedmdb.org/resource/movie/performance>
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/2275>,,,X,,,,,,,,,,,X,,,,,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/1193>,,,X,X,,,,,,,,,,,,,,X,,
"<http://data.linkedmdb.org/resource/movie/initial_release_date>:-:""2003-06-13""",X,,,,,,,,,,,,X,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/9656>,,,X,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/71114>,,,X,,,,,,,,,,,,X,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Dumb & Dumberer""",,,,,,,,X,,,,,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/film_of_distributor>:-:<http://data.linkedmdb.org/resource/film_film_distributor_relationship/7368>,,X,X,,,,X,,,,,X,,,,,X,,X,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/9658>,,,X,,,,,,,,,,,,,,,,,X
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""2108""^^<http://www.w3.org/2001/XMLSchema#int>",,,X,,X,,,,,,,,,,,,,,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/1193>,,,X,X,,,,,,,,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/prequel>:-:<http://data.linkedmdb.org/resource/film/1351>,,X,X,,,,X,,,,,X,,,,,X,,X,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/70982>,,,X,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/15305>,,,X,,,,,,,,,,,X,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/32287>,,,X,,,,,,X,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/film_cut>:-:<http://data.linkedmdb.org/resource/film_cut/2019>,,X,X,,,,X,,,,,X,,,,,X,,X,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/135864>,,,X,,,,,,,,,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/698>,,,X,,,X,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/en>,,,X,,,,,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/16678>,,,X,,,X,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/13754>,,,X,,,X,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/3355>,,,X,,,,,,X,,,,,,,,,,,
"<http://purl.org/dc/terms/date>:-:""2003-06-13""",X,,,,,,,,,,,,X,,,,,,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f800000000048fea0>,,,X,,,,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/9657>,,,X,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/2276>,,,X,,,,,,,,,,,X,,,,,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.rottentomatoes.com/alias?type=imdbid&s=0329028>,,,X,,,,,X,,X,,,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/2917>,,,X,X,,,,,,,,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/42558>,,,X,,,,,,X,,,,,,,,,,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/2917>,,,X,X,,,,,,,,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/9452>,,,X,,,,,,X,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/15304>,,,X,,,,,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,,X,X,,,,X,,,,,X,,,,,X,,X,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/6220>,,,X,,,,,,,,,,,X,,,,,,
"<http://data.linkedmdb.org/resource/movie/runtime>:-:""85""",,,,,,,,,,,X,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/sequel>:-:<http://data.linkedmdb.org/resource/film/1351>,,X,X,,,,X,,,,,X,,,,,X,,X,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.imdb.com/title/tt0329028>,,,X,,,,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/14177>,,,X,,,X,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/2158>,,,X,,,X,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/5946>,,,X,,,X,,,,,,,,,,,,,,
"<http://purl.org/dc/terms/title>:-:""Dumb & Dumberer""",,,,,,,,X,,,,,,,,X,,,,
