,<http://data.linkedmdb.org/resource/movie/music_contributor>,<http://data.linkedmdb.org/resource/movie/film_cut>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://www.w3.org/2004/02/skos/core#subject>,<http://data.linkedmdb.org/resource/movie/film_subject>,<http://data.linkedmdb.org/resource/movie/performance>,<http://data.linkedmdb.org/resource/movie/film_of_distributor>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/director>,<http://xmlns.com/foaf/0.1/page>,<http://data.linkedmdb.org/resource/movie/writer>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/runtime>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/producer>,<http://data.linkedmdb.org/resource/movie/language>,<http://xmlns.com/foaf/0.1/based_near>,<http://purl.org/dc/terms/date>,<http://dbpedia.org/property/hasPhotoCollection>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://data.linkedmdb.org/resource/movie/country>
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/71209>,,,,,,,,,,,,,,,X,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/154>,,,,,,,,,,,,,,,,,,X,,,,,,X
"<http://purl.org/dc/terms/title>:-:""What's New Pussycat?""",,,,,,,,X,,,,X,,,,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/10>,,,,,,,,,,,,,X,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/country>:-:<http://data.linkedmdb.org/resource/country/GB>,,,,,,,,,,,,,,,,,,,,,,,,X
<http://xmlns.com/foaf/0.1/page>:-:<http://www.imdb.com/title/tt0059903/>,,,,,,,,,,X,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/29679>,,,,,,,,,,,,,X,,,,,,,,,,,X
<http://www.w3.org/2004/02/skos/core#subject>:-:<http://data.linkedmdb.org/resource/film_subject/375>,,X,,X,X,,X,,,,,,,,,,,,,,,,X,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/36799>,,,,,,,,,,,,,X,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/29614>,,,,,,,,,,,,,X,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/15178>,,,,,,,,,X,,,,,,,,X,,,,,,,X
<http://data.linkedmdb.org/resource/movie/film_cut>:-:<http://data.linkedmdb.org/resource/film_cut/11663>,,X,,X,X,,X,,,,,,,,,,,,,,,,X,X
"<http://data.linkedmdb.org/resource/movie/initial_release_date>:-:""1965""",,,,,,,,,,,,,,,,X,,,,,X,,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/13237>,,,,,,,,,X,,,,,,,,X,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/50018>,,,,,,X,,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/51265>,,,,,,X,,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/film_of_distributor>:-:<http://data.linkedmdb.org/resource/film_film_distributor_relationship/12908>,,X,,X,X,,X,,,,,,,,,,,,,,,,X,X
<http://xmlns.com/foaf/0.1/page>:-:<http://www.rottentomatoes.com/alias?type=imdbid&s=0059903/>,,,,,,,,,,X,,,,,,,,,X,,,,,X
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/13288>,,,,,,,,,,,X,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/30975>,,,,,,,,,,,,,X,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/49723>,,,,,,X,,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/56069>,,,,,,X,,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/99761>,,,,,,X,,,,,,,,,,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,,X,,X,X,,X,,,,,,,,,,,,,,,,X,X
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/1220>,,,,,,,,,,,,,,,X,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/31973>,,,,,,,,,,,,,X,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/66844>,,,,,,X,,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/film_subject>:-:<http://data.linkedmdb.org/resource/film_subject/375>,,X,,X,X,,X,,,,,,,,,,,,,,,,X,X
<http://data.linkedmdb.org/resource/movie/music_contributor>:-:<http://data.linkedmdb.org/resource/music_contributor/4357>,X,,,,,,,,,,,,,,,,,,,,,,,X
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/15178>,,,,,,,,,X,,,,,,,,X,,,,,,,X
<http://xmlns.com/foaf/0.1/based_near>:-:<http://sws.geonames.org/2635167/>,,,,,,,,,,,,,,,,,,,,X,,,,X
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/en>,,,,,,,,,,,,,,,,,,,X,,,,,X
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""2381""^^<http://www.w3.org/2001/XMLSchema#int>",,,X,,,,,,,,,,,,,,,,,,,,,X
