,<http://data.linkedmdb.org/resource/movie/editor>,<http://data.linkedmdb.org/resource/movie/music_contributor>,<http://data.linkedmdb.org/resource/movie/production_company>,<http://xmlns.com/foaf/0.1/page>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://data.linkedmdb.org/resource/movie/producer>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/language>,<http://data.linkedmdb.org/resource/movie/film_of_distributor>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://data.linkedmdb.org/resource/movie/film_cut>,<http://purl.org/dc/terms/date>,<http://data.linkedmdb.org/resource/movie/runtime>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/cinematographer>,<http://data.linkedmdb.org/resource/movie/performance>
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/10869>,,,,X,,,X,,,,,,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/29669>,,,,X,,,,,,X,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/47098>,,,,X,,,,,,X,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4346>,,,,X,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4344>,,,,X,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/editor>:-:<http://data.linkedmdb.org/resource/editor/2398>,X,,,X,,,,,,,,,,,,,,,,,
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""2572""^^<http://www.w3.org/2001/XMLSchema#int>",,,,X,,,,X,,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,,,,X,,,,,,,,X,X,X,,,,,,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/9690>,,,,X,X,,,,,,,,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/118676>,,,,X,,,,,,,,,,,,,,,,,X
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f80000000005646e7>,,,,X,,,,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/1181>,,,,X,,,X,,,,,,,,,,,,,,
"<http://purl.org/dc/terms/date>:-:""2002-01-11""",,,,,,X,,,,,,,,,X,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Biggie & Tupac""",,,,,,,,,X,,,,,,,,,X,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/44171>,,,,X,,,,,,X,,,,,,,,,,,
