,<http://data.linkedmdb.org/resource/movie/genre>,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://data.linkedmdb.org/resource/movie/film_cut>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://data.linkedmdb.org/resource/movie/producer>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://data.linkedmdb.org/resource/movie/writer>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/runtime>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/language>,<http://xmlns.com/foaf/0.1/page>,<http://xmlns.com/foaf/0.1/based_near>,<http://purl.org/dc/terms/date>,<http://dbpedia.org/property/hasPhotoCollection>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/performance>,<http://data.linkedmdb.org/resource/movie/country>
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/1984>,,,,,,,X,,X,,,,X,,,X,,X,,,X
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/526>,,,,,,X,,,X,,,,X,,,X,,X,,,X
<http://data.linkedmdb.org/resource/movie/genre>:-:<http://data.linkedmdb.org/resource/film_genre/4>,X,,X,,,,,,X,,,X,X,,,X,X,X,,,X
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/796>,,,,,,,,X,X,,,,X,,,X,,X,,,X
<http://xmlns.com/foaf/0.1/page>:-:<http://www.imdb.com/title/tt0329706>,,,,,,,,,,,,,X,,,,,,,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f80000000007afaba>,,,,,,,,,X,,,X,X,,,X,,X,,,X
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/632>,,,,X,,,,,X,,,,X,,,X,,X,X,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/779>,,,,,,,,,X,,,,X,,,X,,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,X,,X,,,,,,X,,,,X,,,X,X,X,,,X
<http://data.linkedmdb.org/resource/movie/film_cut>:-:<http://data.linkedmdb.org/resource/film_cut/165>,X,,X,,,,,,X,,,,X,,,X,X,X,,,X
