,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://data.linkedmdb.org/resource/movie/music_contributor>,<http://data.linkedmdb.org/resource/movie/film_subject>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://data.linkedmdb.org/resource/movie/producer>,<http://data.linkedmdb.org/resource/movie/writer>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://xmlns.com/foaf/0.1/page>,<http://data.linkedmdb.org/resource/movie/film_of_distributor>,<http://www.w3.org/2004/02/skos/core#subject>,<http://purl.org/dc/terms/date>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/performance>
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/32227>,,,,,,,,X,,,,,,,X,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/40960>,,,,,,,,X,X,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/38446>,,,,,,,,X,X,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/film_subject>:-:<http://data.linkedmdb.org/resource/film_subject/333>,,,X,,,,,X,,,X,X,,X,X,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""The Incredibly True Adventure of Two Girls in Love""",,,,,,,,X,,,,,,,X,,
"<http://purl.org/dc/terms/date>:-:""1995""",X,,,,,,,,,,,,X,,,,
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""41006""^^<http://www.w3.org/2001/XMLSchema#int>",,,,,X,,,X,,,,,,,X,,
"<http://purl.org/dc/terms/title>:-:""The Incredibly True Adventure of Two Girls in Love""",,,,,,,,X,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/48861>,,,,,,,,X,,,,,,,X,,X
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/377>,,,,,,X,,X,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,,,X,,,,,X,,,X,X,,X,X,,
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/13682>,,,,,,X,,X,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/film_of_distributor>:-:<http://data.linkedmdb.org/resource/film_film_distributor_relationship/7390>,,,X,,,,,X,,,X,X,,X,X,,
<http://www.w3.org/2004/02/skos/core#subject>:-:<http://data.linkedmdb.org/resource/film_subject/333>,,,X,,,,,X,,,X,X,,X,X,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/32228>,,,,,,,,X,,,,,,,X,,X
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/13110>,,,,X,,,,X,,,,,,,X,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/13110>,,,,X,,,,X,,,,,,,X,X,
<http://data.linkedmdb.org/resource/movie/music_contributor>:-:<http://data.linkedmdb.org/resource/music_contributor/5748>,,X,,,,,,X,,,,,,,X,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f80000000004af166>,,,,,,,,,,X,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/46958>,,,,,,,,X,X,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/19046>,,,,,,,X,X,,,,,,,X,,
"<http://data.linkedmdb.org/resource/movie/initial_release_date>:-:""1995""",X,,,,,,,,,,,,X,,,,
