,<http://data.linkedmdb.org/resource/movie/filmid>,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://data.linkedmdb.org/resource/movie/music_contributor>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/editor>,<http://xmlns.com/foaf/0.1/page>,<http://data.linkedmdb.org/resource/movie/writer>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/film_of_distributor>,<http://purl.org/dc/terms/date>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/film_set_designer>,<http://data.linkedmdb.org/resource/movie/film_format>,<http://data.linkedmdb.org/resource/movie/film_art_director>,<http://data.linkedmdb.org/resource/movie/performance>
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/5456>,,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/30035>,,,,,,,,,X,,,,,,,,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f8000000000567f08>,,,,,,X,,,,,,,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Broken Lance""",,,,,,,,X,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,,,,,,,,,,X,,X,,,X,X,X,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/33143>,,,,,,,,,X,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/32491>,,,,,,,,,X,,,,,,,,,
"<http://purl.org/dc/terms/title>:-:""Broken Lance""",,,,,,,,X,,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/15593>,,,,,,,X,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/film_set_designer>:-:<http://data.linkedmdb.org/resource/film_set_designer/2>,,,,,,,,,,X,,X,,,X,X,X,
<http://data.linkedmdb.org/resource/movie/music_contributor>:-:<http://data.linkedmdb.org/resource/music_contributor/5454>,,,X,,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/film_of_distributor>:-:<http://data.linkedmdb.org/resource/film_film_distributor_relationship/1166>,,,,,,,,,,X,,X,,,X,X,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/9077>,,,,X,,,,,,,,,,X,,,X,
"<http://data.linkedmdb.org/resource/movie/initial_release_date>:-:""1954""",,X,,,,,,,,,X,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/5454>,,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/5455>,,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/16556>,,,,,,,X,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/film_format>:-:<http://data.linkedmdb.org/resource/film_format/56>,,,,,,,,,,X,,X,,,X,X,X,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/5458>,,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/5457>,,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/35936>,,,,,,,,,X,,,,,,,,,
"<http://purl.org/dc/terms/date>:-:""1954""",,X,,,,,,,,,X,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/29794>,,,,,,,,,X,,,,,,,,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/9077>,,,,X,,,,,,,,,,X,,,X,
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""41573""^^<http://www.w3.org/2001/XMLSchema#int>",X,,,,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/film_art_director>:-:<http://data.linkedmdb.org/resource/film_art_director/2>,,,,X,,,,,,X,,X,,X,X,X,X,
<http://data.linkedmdb.org/resource/movie/editor>:-:<http://data.linkedmdb.org/resource/editor/1708>,,,,,X,,,,,,,,,,,,,
