,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://data.linkedmdb.org/resource/movie/music_contributor>,<http://data.linkedmdb.org/resource/movie/film_cut>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://xmlns.com/foaf/0.1/page>,<http://data.linkedmdb.org/resource/movie/writer>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/language>,<http://data.linkedmdb.org/resource/movie/runtime>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://purl.org/dc/terms/date>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/sequel>,<http://data.linkedmdb.org/resource/movie/prequel>,<http://data.linkedmdb.org/resource/movie/performance>
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4416>,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/47808>,,,,,,,,X,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/prequel>:-:<http://data.linkedmdb.org/resource/film/3887>,,,X,,,,,,,,X,,,,X,X,
<http://data.linkedmdb.org/resource/movie/film_cut>:-:<http://data.linkedmdb.org/resource/film_cut/881>,,,X,,,,,,,,X,,,,X,X,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4414>,,,,,,,,,,,,,,,,,X
"<http://purl.org/dc/terms/date>:-:""1994-07-09""",X,,,,,,,,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/35586>,,,,,,,,X,,,,,,,,,
"<http://data.linkedmdb.org/resource/movie/runtime>:-:""50""",,,,,,,,,,X,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/40928>,,,,,,,,X,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/1396>,,,,,,X,,,,,,,,,,,
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""4501""^^<http://www.w3.org/2001/XMLSchema#int>",,,,X,,,,,,X,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/35096>,,,,,,,,X,,X,,,,,,,
"<http://data.linkedmdb.org/resource/movie/initial_release_date>:-:""1994-07-09""",X,,,,,,,,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/34160>,,,,,,,,X,,,,,,,,,
"<http://purl.org/dc/terms/title>:-:""Super-Warrior Defeat!! I'm the One who'll Win""",,,,,,,X,,,,,,,X,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4408>,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/ja>,,,,,,,,,X,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4412>,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/sequel>:-:<http://data.linkedmdb.org/resource/film/3887>,,,X,,,,,,,,X,,,,X,X,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4410>,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4411>,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/35093>,,,,,,,,X,,X,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/82244>,,,,,,,,,,,,,,,,,X
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f8000000000867897>,,,,,X,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/sequel>:-:<http://data.linkedmdb.org/resource/film/1835>,,,X,,,,,,,,X,,,,X,X,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Super-Warrior Defeat!! I'm the One who'll Win""",,,,,,,X,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,,,X,,,,,,,,X,,,,X,X,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/42282>,,,,,,,,X,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4415>,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/33932>,,,,,,,,X,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/13022>,,,,,,X,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/1545>,,,,,,,,X,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/music_contributor>:-:<http://data.linkedmdb.org/resource/music_contributor/5614>,,X,,,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4409>,,,,,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/137895>,,,,,,,,,,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/34497>,,,,,,,,X,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/prequel>:-:<http://data.linkedmdb.org/resource/film/1835>,,,X,,,,,,,,X,,,,X,X,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4413>,,,,,,,,,,,,,,,,,X
