,<http://data.linkedmdb.org/resource/movie/film_cut>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://data.linkedmdb.org/resource/movie/prequel>,<http://data.linkedmdb.org/resource/movie/performance>,<http://data.linkedmdb.org/resource/movie/sequel>,<http://data.linkedmdb.org/resource/movie/film_of_distributor>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/director>,<http://xmlns.com/foaf/0.1/page>,<http://data.linkedmdb.org/resource/movie/writer>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/runtime>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://data.linkedmdb.org/resource/movie/production_company>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/producer>,<http://data.linkedmdb.org/resource/movie/language>,<http://purl.org/dc/terms/date>,<http://dbpedia.org/property/hasPhotoCollection>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
<http://data.linkedmdb.org/resource/movie/production_company>:-:<http://data.linkedmdb.org/resource/production_company/30>,,,,,,,,,X,,,,,,,X,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/30295>,,,,,,,,,X,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/5326>,,,,,,,,,X,X,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/film_of_distributor>:-:<http://data.linkedmdb.org/resource/film_film_distributor_relationship/2035>,X,,X,,X,X,,,X,,,,,,,,,,,,,X
<http://dbpedia.org/property/hasPhotoCollection>:-:<http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/The_Mummy's_Tomb>,,,,,,,X,,X,,X,,,,,,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/2954>,,,,,,,,X,X,,,,,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/55256>,,,,,,,,,X,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/95522>,,,,X,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/2475>,,,,,,,,X,X,,,,,,,,X,,,,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f80000000009746be>,,,,,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/36482>,,,,,,,,,X,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/2954>,,,,,,,,X,X,,,,,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/sequel>:-:<http://data.linkedmdb.org/resource/film/5226>,X,,X,,X,X,,,X,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/33556>,,,,X,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/46810>,,,,,,,,,X,,,X,,,,,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""The Mummy's Tomb""",,,,,,,X,,,,X,,,,,,,,,,X,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/2490>,,,,,,,,,X,,,,,X,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/192397>,,,,X,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/33557>,,,,X,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/sequel>:-:<http://data.linkedmdb.org/resource/film/5240>,X,,X,,X,X,,,X,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/prequel>:-:<http://data.linkedmdb.org/resource/film/5226>,X,,X,,X,X,,,X,,,,,,,,,,,,,X
<http://xmlns.com/foaf/0.1/page>:-:<http://www.rottentomatoes.com/alias?type=imdbid&s=0035096>,,,,,,,,,X,,,,,,,,,,X,,,
<http://data.linkedmdb.org/resource/movie/prequel>:-:<http://data.linkedmdb.org/resource/film/5240>,X,,X,,X,X,,,X,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/43277>,,,,,,,,,X,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/138483>,,,,,,,,,X,,,,,X,,,,,,,,
"<http://data.linkedmdb.org/resource/movie/initial_release_date>:-:""1942-10-23""",,,,,,,,,,,,,,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,X,,X,,X,X,,,X,,,,,,,,,,,,,X
<http://xmlns.com/foaf/0.1/page>:-:<http://www.imdb.com/title/tt0035096>,,,,,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/en>,,,,,,,,,X,,,,,,,,,,X,,,
"<http://data.linkedmdb.org/resource/movie/runtime>:-:""61""",,,,,,,,,,,,,X,,,,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/39556>,,,,,,,,,X,,,,,X,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/79968>,,,,X,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/5155>,,,,,,,,,X,,,,,,,,,X,,,,
"<http://purl.org/dc/terms/title>:-:""The Mummy's Tomb""",,,,,,,X,,,,X,,,,,,,,,,X,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/21023>,,,,,,,,,X,,,,,X,,,,,,,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/2475>,,,,,,,,X,X,,,,,,,,X,,,,,
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""5232""^^<http://www.w3.org/2001/XMLSchema#int>",,X,,,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/film_cut>:-:<http://data.linkedmdb.org/resource/film_cut/7260>,X,,X,,X,X,,,X,,,,,,,,,,,,,X
"<http://purl.org/dc/terms/date>:-:""1942-10-23""",,,,,,,,,,,,,,,X,,,,,X,,
