,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://dbpedia.org/property/hasPhotoCollection>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://xmlns.com/foaf/0.1/page>,<http://data.linkedmdb.org/resource/movie/writer>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/language>,<http://data.linkedmdb.org/resource/movie/producer>,<http://purl.org/dc/terms/date>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/performance>
<http://xmlns.com/foaf/0.1/page>:-:<http://www.imdb.com/title/tt0756681>,,,,,X,,,,,,,,,,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.rottentomatoes.com/alias?type=imdbid&s=0756681>,,,,,X,,,,X,,,,,,,
"<http://data.linkedmdb.org/resource/movie/initial_release_date>:-:""2007""",X,,,,,,,,,,X,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/139511>,,,,,X,,,,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/73576>,,,,,X,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/49301>,,,,,X,,,X,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/55985>,,,,,X,,,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,,,,,X,,,,,,,,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Magnum, P.I.""",,X,,,,,X,,,,,,,X,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/11328>,,,X,,X,,,,,,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/11328>,,,X,,X,,,,,,,,,,X,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/21528>,,,,,X,,,,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/43526>,,,,,X,,,,,,,,,,,X
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""6468""^^<http://www.w3.org/2001/XMLSchema#int>",,,,X,X,,,,,,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/40061>,,,,,X,,,,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/17242>,,,,,X,X,,,,,,,,,,
"<http://purl.org/dc/terms/title>:-:""Magnum, P.I.""",,X,,,,,X,,,,,,,X,,
"<http://dbpedia.org/property/hasPhotoCollection>:-:<http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Magnum,_P.I.>",,X,,,X,,X,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/11092>,,,,,X,,,,,X,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/2995>,,,,,X,,,,,,,X,,,,
"<http://purl.org/dc/terms/date>:-:""2007""",X,,,,,,,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/32753>,,,,,X,,,X,,,,,,,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f8000000000b3087f>,,,,,X,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/35595>,,,,,X,,,X,,,,,,,,
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/en>,,,,,X,,,,X,,,,,,,
