,<http://data.linkedmdb.org/resource/movie/genre>,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://data.linkedmdb.org/resource/movie/film_cut>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/sequel>,<http://xmlns.com/foaf/0.1/page>,<http://data.linkedmdb.org/resource/movie/writer>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/language>,<http://data.linkedmdb.org/resource/movie/runtime>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://purl.org/dc/terms/date>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/prequel>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://data.linkedmdb.org/resource/movie/performance>
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/140209>,,,,,,X,,,,,,,,X,,,,,
"<http://data.linkedmdb.org/resource/movie/initial_release_date>:-:""1983""",,X,,,,,,,,,,,X,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/30114>,,,,,,X,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/genre>:-:<http://data.linkedmdb.org/resource/film_genre/30>,X,,X,,X,X,,,,X,,X,,,,,X,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/29778>,,,,,,X,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/genre>:-:<http://data.linkedmdb.org/resource/film_genre/4>,X,,X,,X,X,,,,X,,X,,,,,X,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f8000000000c6ae93>,,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/en>,,,,,,X,,,,X,,,,,,,,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/15854>,,,,X,,X,,,,,,,,,,X,,,
"<http://data.linkedmdb.org/resource/movie/runtime>:-:""100""",,,,,,,,,,,X,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4371>,,,,,,X,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4368>,,,,,,X,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4369>,,,,,,X,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/film_cut>:-:<http://data.linkedmdb.org/resource/film_cut/872>,X,,X,,X,X,,,,,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,X,,X,,X,X,,,,,,X,,,,,X,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.imdb.com/title/tt0085247>,,,,,,X,,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/46165>,,,,,,X,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/38081>,,,,,,X,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/15854>,,,,X,,X,,,,,,,,,,X,,,
"<http://purl.org/dc/terms/date>:-:""1983""",,X,,,,,,,,,,,X,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4367>,,,,,,X,,,,,,,,,,,,,X
"<http://purl.org/dc/terms/title>:-:""Bill: On His Own""",,,,,,,,X,,,,,,,X,,,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.rottentomatoes.com/alias?type=imdbid&s=0085247>,,,,,,X,,,,X,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/29477>,,,,,,X,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/prequel>:-:<http://data.linkedmdb.org/resource/film/7347>,X,,X,,X,X,,,,,,X,,,,,X,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/4370>,,,,,,X,,,,,,,,,,,,,X
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Bill: On His Own""",,,,,,,,X,,,,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/30837>,,,,,,X,,,X,,,,,,,,,,
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""7348""^^<http://www.w3.org/2001/XMLSchema#int>",,,,,,X,,,,,,,,,,,,X,
<http://data.linkedmdb.org/resource/movie/sequel>:-:<http://data.linkedmdb.org/resource/film/7347>,X,,X,,X,X,,,,,,X,,,,,X,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/159456>,,,,,,X,,,,,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/1389>,,,,,,X,X,,,,,,,,,,,,
