,<http://data.linkedmdb.org/resource/movie/editor>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://xmlns.com/foaf/0.1/page>,<http://data.linkedmdb.org/resource/movie/writer>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/language>,<http://data.linkedmdb.org/resource/movie/producer>,<http://xmlns.com/foaf/0.1/based_near>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/film_of_distributor>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/country>,<http://data.linkedmdb.org/resource/movie/cinematographer>,<http://data.linkedmdb.org/resource/movie/performance>
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""The Aftermath""",,,,,,X,,,,,,,X,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/72987>,,,,X,,,,,,,X,,,,,X,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/63652>,,,,X,,,,,,,X,,,,,X,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/31908>,,,,X,,,X,,,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/editor>:-:<http://data.linkedmdb.org/resource/editor/1709>,X,,,X,,,,,,,,,,,,X,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.imdb.com/title/tt0758789>,,,,X,,,,,,,,,,,,X,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.rottentomatoes.com/alias?type=imdbid&s=0758789>,,,,X,,,,X,,,,,,,,X,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/140699>,,,,X,,,,,,,X,,,,,X,,
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""7963""^^<http://www.w3.org/2001/XMLSchema#int>",,,X,X,,,,,,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/cinematographer>:-:<http://data.linkedmdb.org/resource/cinematographer/692>,,,,X,,,,,,,,,,,,X,X,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f8000000000d192d4>,,,,X,,,,,,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/29134>,,,,X,,,,,,,,,,,,X,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/37715>,,,,X,,,X,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,,,,X,,,,,,,,X,,X,,X,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/29132>,,,,X,,,,,,,,,,,,X,,X
<http://data.linkedmdb.org/resource/movie/country>:-:<http://data.linkedmdb.org/resource/country/GB>,,,,X,,,,,,,,,,,,X,,
"<http://purl.org/dc/terms/title>:-:""The Aftermath""",,,,,,X,,,,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/32015>,,,,X,,,X,,,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/film_of_distributor>:-:<http://data.linkedmdb.org/resource/film_film_distributor_relationship/11639>,,,,X,,,,,,,,X,,X,,X,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/11682>,,X,,X,,,,,,,,,,,X,X,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/11682>,,X,,X,,,,,,,,,,,X,X,,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/4850>,,,,X,X,,,,,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/997>,,,,X,,,,,X,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/29135>,,,,X,,,,,,,,,,,,X,,X
<http://xmlns.com/foaf/0.1/based_near>:-:<http://sws.geonames.org/2635167/>,,,,X,,,,,,X,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/36466>,,,,X,,,X,,,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/29131>,,,,X,,,,,,,,,,,,X,,X
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/en>,,,,X,,,,X,,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/29133>,,,,X,,,,,,,,,,,,X,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/37594>,,,,X,,,X,,,,,,,,,X,,
