,<http://data.linkedmdb.org/resource/movie/music_contributor>,<http://data.linkedmdb.org/resource/movie/film_cut>,<http://data.linkedmdb.org/resource/movie/filmid>,<http://data.linkedmdb.org/resource/movie/performance>,<http://data.linkedmdb.org/resource/movie/editor>,<http://data.linkedmdb.org/resource/movie/film_of_distributor>,<http://purl.org/dc/terms/title>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/cinematographer>,<http://xmlns.com/foaf/0.1/page>,<http://data.linkedmdb.org/resource/movie/writer>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/runtime>,<http://data.linkedmdb.org/resource/oddlinker/link_source>,<http://data.linkedmdb.org/resource/movie/genre>,<http://data.linkedmdb.org/resource/movie/initial_release_date>,<http://xmlns.com/foaf/0.1/made>,<http://data.linkedmdb.org/resource/movie/producer>,<http://data.linkedmdb.org/resource/movie/language>,<http://purl.org/dc/terms/date>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
"<http://purl.org/dc/terms/date>:-:""1998-12-25""",,,,,,,,,,,,,,,,,X,,,,X,
<http://data.linkedmdb.org/resource/movie/cinematographer>:-:<http://data.linkedmdb.org/resource/cinematographer/157>,,,,,,,,,X,X,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/3604>,,,,,,,,,,X,,,,,,,,,X,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/29405>,,,,,,,,,,X,,,X,,,,,,,,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f8000000000db9872>,,,,,,,,,,X,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/31581>,,,,,,,,,,X,,,X,,,,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/141053>,,,,,,,,,,X,,,,,X,,,,,,,
"<http://data.linkedmdb.org/resource/movie/initial_release_date>:-:""1998-12-25""",,,,,,,,,,,,,,,,,X,,,,X,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/2113>,,,,,,,,,,X,X,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/film>,,X,,,,X,,,,X,,,,,,X,,,,,,X
<http://data.linkedmdb.org/resource/movie/editor>:-:<http://data.linkedmdb.org/resource/editor/36>,,,,,X,,,,,X,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/music_contributor>:-:<http://data.linkedmdb.org/resource/music_contributor/5196>,X,,,,,,,,,X,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/5959>,,,,,,,,,,X,,,,,,,,,X,,,
<http://data.linkedmdb.org/resource/movie/film_cut>:-:<http://data.linkedmdb.org/resource/film_cut/4184>,,X,,,,X,,,,X,,,,,,X,,,,,,X
<http://xmlns.com/foaf/0.1/page>:-:<http://www.imdb.com/title/tt0120751>,,,,,,,,,,X,,,,,,,,,,,,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.rottentomatoes.com/alias?type=imdbid&s=0120751>,,,,,,,,,,X,,,,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/genre>:-:<http://data.linkedmdb.org/resource/film_genre/15>,,X,,,,X,,,,X,,,,,,X,,,,X,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/19600>,,,,X,,,,,,X,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/173853>,,,,X,,,,,,X,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/110>,,,,,,,,,,X,X,,,,,,,,,,,
<http://data.linkedmdb.org/resource/oddlinker/link_source>:-:<http://data.linkedmdb.org/resource/interlink/73136>,,,,,,,,,,X,,,,,X,,,,,,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/director/11436>,,,,,,,,X,,X,,,,X,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/producer>:-:<http://data.linkedmdb.org/resource/producer/1174>,,,,,,,,,,X,,,,,,,,,X,,,
"<http://data.linkedmdb.org/resource/movie/runtime>:-:""114""",,,,,,,,,,,,,,X,,,,,,,,
"<http://data.linkedmdb.org/resource/movie/filmid>:-:""8446""^^<http://www.w3.org/2001/XMLSchema#int>",,,X,,,,,,,X,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/language>:-:<http://www.lingvoj.org/lingvo/en>,,,,,,,,,,X,,,,,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/actor/32793>,,,,,,,,,,X,,,X,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/19601>,,,,X,,,,,,X,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/film_of_distributor>:-:<http://data.linkedmdb.org/resource/film_film_distributor_relationship/5652>,,X,,,,X,,,,X,,,,,,X,,,,,,X
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Mighty Joe Young""",,,,,,,X,,,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/2112>,,,,,,,,,,X,X,,,,,,,,,,,
"<http://purl.org/dc/terms/title>:-:""Mighty Joe Young""",,,,,,,X,,,,,X,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/music_contributor>:-:<http://data.linkedmdb.org/resource/music_contributor/4592>,X,,,,,,,,,X,,,,,,,,,,,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/director/11436>,,,,,,,,X,,X,,,,X,,,,X,,,,
<http://data.linkedmdb.org/resource/movie/writer>:-:<http://data.linkedmdb.org/resource/writer/3287>,,,,,,,,,,X,X,,,,,,,,,,,
