,<http://xmlns.com/foaf/0.1/made>,<http://xmlns.com/foaf/0.1/page>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/director_name>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/director_directorid>
"<http://data.linkedmdb.org/resource/movie/director_name>:-:""Abel Ferrara""",,,X,X,,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/48179>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/90531>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/70633>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/88229>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/23866>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/3535>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/12281>,X,,,,,X,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Abel Ferrara (Director)""",,,X,X,X,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/40146>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/1159>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/63031>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/12281>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/70633>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/48179>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/42868>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/96870>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/63031>,X,,,,,X,
"<http://data.linkedmdb.org/resource/movie/director_directorid>:-:""10100""^^<http://www.w3.org/2001/XMLSchema#int>",,,,,,,X
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/44846>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/96598>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/42868>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/88229>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/40914>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/3535>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/90531>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/11719>,X,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,,,X,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/96598>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/66097>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/11719>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/13196>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/63785>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/13196>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/44846>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/1160>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/66097>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/40914>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/96870>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/63785>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/1159>,X,,,,,X,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f8000000000535fbd>,,X,,,,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/40146>,X,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/director>,,,,,X,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/1160>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/23866>,X,,,,,X,
