,<http://dbpedia.org/ontology/time>,<http://dbpedia.org/ontology/date>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/location>,<http://dbpedia.org/ontology/city>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/previousEvent>,<http://dbpedia.org/ontology/team>
"<http://xmlns.com/foaf/0.1/name>:-:""2011 League of Ireland Cup Final""@en",,,X,,,X,,X,X,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/Derry_City_F.C.>,,,,,,X,,,,X
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""2011 League of Ireland Cup Final""@en",,,X,,,X,,X,X,
<http://dbpedia.org/ontology/location>:-:<http://dbpedia.org/resource/Turners_Cross_(stadium)>,,,,X,,,,,,
<http://dbpedia.org/ontology/city>:-:<http://dbpedia.org/resource/Cork_(city)>,,,,,X,X,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/SportsEvent>,,,,,,,X,,,
"<http://dbpedia.org/ontology/date>:-:""2011-09-24""^^<http://www.w3.org/2001/XMLSchema#date>",,X,X,,,X,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Derry_City_F.C._matches>,,,,,,X,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Event>,,,,,,,X,,,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/Cork_City_F.C.>,,,,,X,X,,,,X
"<http://dbpedia.org/ontology/time>:-:""18:00IST""",X,,,,,,,,,
<http://dbpedia.org/ontology/previousEvent>:-:<http://dbpedia.org/resource/2012_League_of_Ireland_Cup_Final>,,,X,,,X,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/FootballMatch>,,,,,,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Cork_City_F.C._matches>,,,,,X,X,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SocietalEvent>,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Event>,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event>,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:2011_League_of_Ireland>,,,X,,,X,,X,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:2011_in_Republic_of_Ireland_football_cups>,,,X,,,X,X,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SportsEvent>,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:League_of_Ireland_Cup_finals>,,,X,,,X,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q1656682>,,,,,,,X,,,
