,<http://dbpedia.org/ontology/height>,<http://dbpedia.org/ontology/college>,<http://dbpedia.org/ontology/activeYearsStartYear>,<http://dbpedia.org/ontology/termPeriod>,<http://xmlns.com/foaf/0.1/depiction>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/birthDate>,<http://dbpedia.org/ontology/birthPlace>,<http://dbpedia.org/ontology/league>,<http://dbpedia.org/ontology/birthYear>,<http://purl.org/dc/terms/subject>,<http://xmlns.com/foaf/0.1/givenName>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/team>,<http://dbpedia.org/ontology/weight>,<http://xmlns.com/foaf/0.1/surname>,<http://purl.org/dc/elements/1.1/description>,<http://dbpedia.org/ontology/activeYearsEndYear>,<http://dbpedia.org/ontology/draftYear>
<http://dbpedia.org/ontology/termPeriod>:-:<http://dbpedia.org/resource/Adrian_Griffin__2>,,,,X,X,X,X,,,,,X,X,,X,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/SmallForwards>,,,,,,,,,,,,X,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Orlando_Magic_assistant_coaches>,,,,,,,,,,,,X,,X,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/SeattleSuperSonicsPlayers>,,,,,,,,,,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/BasketballPlayer>,,X,,,,,,,,X,,X,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,,,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/ConnecticutPridePlayers>,,,,,,,,,,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/DallasMavericksPlayers>,,,,,,,,,,,,X,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Milwaukee_Bucks_assistant_coaches>,,,,,,,,,,,,X,,X,,,,,,,
"<http://dbpedia.org/ontology/activeYearsEndYear>:-:""2008""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,X,,,,,,,,,,,,,,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1974_births>,,,,X,,,,,,,X,X,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,X,,,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Trainer110722575>,,,,X,,,,,,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Player110439851>,,,,X,,,,,,,,,,X,,,,,,,
"<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Sportspeople_from_Wichita,_Kansas>",,,,,,,,,X,,,X,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Shooting_guards>,,,,,,,,,,,,X,,X,,,,,,,
<http://dbpedia.org/ontology/termPeriod>:-:<http://dbpedia.org/resource/Adrian_Griffin__5>,,,,X,X,X,X,,,,,X,X,,X,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Organism100004475>,,,,X,,,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/ChicagoBullsPlayers>,,,,,,,,,,,,X,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Small_forwards>,,,,,,,,,,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Preserver110466918>,,,,X,,,,,,,,,,X,,,,,,,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Adrian_Griffin.jpg?width=300>,,,,X,X,X,X,,,,,X,X,,X,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Athlete109820263>,,,,X,,,,,,,,,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Boston_Celtics_players>,,,,,,,,,,,,X,,X,,,,,,,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/Orlando_Magic>,,,,,,,,,,,,X,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingPeople>,,,,,,,,,,,,X,,X,,,,,,,
"<http://dbpedia.org/ontology/birthYear>:-:""1974""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,X,,,,,,,X,X,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Defender109614684>,,,,X,,,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,,X,,,,,,,,,,X,,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Adrian Griffin""@en",,,,X,X,X,X,,,,,X,X,,X,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Forward110105733>,,,,X,,,,,,,,,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:American_men's_basketball_players>,,X,,,,,,,,X,,X,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Person>,,,,,,,,,,,,,,X,,,,,,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Adrian_Griffin.jpg>,,,,X,X,X,X,,,,,X,X,,X,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/ShootingGuards>,,,,,,,,,,,,X,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Chicago_Bulls_assistant_coaches>,,,,,,,,,,,,X,,X,,,,,,,
<http://dbpedia.org/ontology/termPeriod>:-:<http://dbpedia.org/resource/Adrian_Griffin__8>,,,,X,X,X,X,,,,,X,X,,X,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Houston_Rockets_players>,,,,,,,,,,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/UndraftedNationalBasketballAssociationPlayers>,,X,,,,,,,,X,,X,,X,,,,,X,,
"<http://purl.org/dc/elements/1.1/description>:-:""American basketball player-coach""@en",,X,,,,,,,,X,,X,,X,,,,,X,,
"<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PeopleFromWichita,Kansas>",,,,,,,,,X,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/SetonHallPiratesMen'sBasketballPlayers>,,X,,,,,,,,X,,X,,X,,,,,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""Adrian Griffin""@en",,,,X,X,X,X,,,,,X,X,,X,,,X,,,
<http://dbpedia.org/ontology/termPeriod>:-:<http://dbpedia.org/resource/Adrian_Griffin__3>,,,,X,X,X,X,,,,,X,X,,X,,,X,,,
"<http://dbpedia.org/ontology/draftYear>:-:""1996""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,X,X,,,,,,,,,,,,,,,,,X
