,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/bronzeMedalist>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/games>,<http://xmlns.com/foaf/0.1/homepage>,<http://dbpedia.org/ontology/nextEvent>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/silverMedalist>,<http://dbpedia.org/ontology/goldMedalist>,<http://dbpedia.org/ontology/previousEvent>,<http://xmlns.com/foaf/0.1/depiction>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/OlympicEvent>,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/SportsEvent>,,,,,,,X,,,,,
<http://xmlns.com/foaf/0.1/homepage>:-:<http://www.la84foundation.org/5va/reports_frmst.htm>,,,X,,X,X,,X,,,X,
<http://dbpedia.org/ontology/silverMedalist>:-:<http://dbpedia.org/resource/Stephan_Vuckovic>,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Event>,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Olympics>,,,X,,,X,X,X,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:2000_in_triathlon>,X,,X,X,,X,,X,,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Triathlon_at_the_2000_Summer_Olympics>,X,,X,X,,X,X,X,,,X,X
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Triathlon_pictogram.svg>,X,,X,,,X,,X,,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Event>,,,,,,,X,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Triathlon at the 2000 Summer Olympics – Men's""@en",X,,X,X,,X,X,X,,,X,X
<http://dbpedia.org/ontology/goldMedalist>:-:<http://dbpedia.org/resource/Simon_Whitfield>,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event>,,,X,,,X,X,X,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SportsEvent>,,,,,,,X,,,,,
"<http://dbpedia.org/ontology/games>:-:""2000 Summer""",,,X,X,,X,,X,,,X,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Triathlon_pictogram.svg?width=300>,X,,X,,,X,,X,,,X,X
<http://dbpedia.org/ontology/previousEvent>:-:<http://dbpedia.org/resource/Triathlon_at_the_2004_Summer_Olympics_–_Men's>,X,,X,X,,X,X,X,,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SocietalEvent>,,,,,,,X,,,,,
<http://dbpedia.org/ontology/nextEvent>:-:<http://dbpedia.org/resource/Triathlon_at_the_2004_Summer_Olympics_–_Men's>,X,,X,X,,X,X,X,,,X,X
<http://dbpedia.org/ontology/bronzeMedalist>:-:<http://dbpedia.org/resource/Jan_Řehula>,,X,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q1656682>,,,X,,,X,X,X,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,X,X,,,,
