,<http://www.w3.org/2003/01/geo/wgs84_pos#long>,<http://dbpedia.org/ontology/populationTotal>,<http://dbpedia.org/ontology/country>,<http://dbpedia.org/ontology/utcOffset>,<http://dbpedia.org/ontology/timeZone>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://www.georss.org/georss/point>,<http://dbpedia.org/ontology/isPartOf>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://www.w3.org/2003/01/geo/wgs84_pos#lat>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Location>,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Place>,,,,,,,,,,X,,
<http://dbpedia.org/ontology/isPartOf>:-:<http://dbpedia.org/resource/Quri_Chay_Rural_District>,,,,,,,,X,,,,
<http://dbpedia.org/ontology/isPartOf>:-:<http://dbpedia.org/resource/Kurdestan_Province>,,,,,,,,X,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Kuleh Bayan""@en",,,,,,X,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Settlement>,,,,,,,,,,X,,
"<http://dbpedia.org/ontology/utcOffset>:-:""+4:30""",,,,X,,,,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""كوله بيان""@en",,,,,,,,,,,X,
"<http://www.w3.org/2003/01/geo/wgs84_pos#lat>:-:""35.42472""^^<http://www.w3.org/2001/XMLSchema#float>",,,,,,,,,,,,X
"<http://dbpedia.org/ontology/utcOffset>:-:""+3:30""",,,,X,,,,,,,,
"<http://dbpedia.org/ontology/populationTotal>:-:""36""^^<http://www.w3.org/2001/XMLSchema#nonNegativeInteger>",,X,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Village>,,,,,,,,,,X,,
"<http://www.georss.org/georss/point>:-:""35.42472222222222 47.221666666666664""",,,,,,,X,,,,,X
"<http://www.w3.org/2003/01/geo/wgs84_pos#long>:-:""47.22167""^^<http://www.w3.org/2001/XMLSchema#float>",X,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/PopulatedPlace>,,,,,,,,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Place>,,,,,,,,,,X,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Kuleh Bayan""@en",,,,,,X,,,,,X,
<http://dbpedia.org/ontology/isPartOf>:-:<http://dbpedia.org/resource/Dehgolan_County>,,,,,,,,X,X,,,
<http://dbpedia.org/ontology/timeZone>:-:<http://dbpedia.org/resource/Iran_Standard_Time>,,,X,,X,,,,,,,
<http://dbpedia.org/ontology/isPartOf>:-:<http://dbpedia.org/resource/Central_District_(Dehgolan_County)>,,,,,,,,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Populated_places_in_Dehgolan_County>,,,,,,,,X,X,X,,
<http://dbpedia.org/ontology/country>:-:<http://dbpedia.org/resource/Iran>,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q486972>,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing>,,,,,,,,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q532>,,,,,,,,,,X,,
