,<http://www.w3.org/2003/01/geo/wgs84_pos#long>,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/nrhpReferenceNumber>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://www.georss.org/georss/point>,<http://dbpedia.org/ontology/location>,<http://dbpedia.org/ontology/added>,<http://dbpedia.org/ontology/yearOfConstruction>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/area>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://xmlns.com/foaf/0.1/depiction>,<http://dbpedia.org/ontology/architecturalStyle>,<http://www.w3.org/2003/01/geo/wgs84_pos#lat>
"<http://dbpedia.org/ontology/area>:-:""4046.8564224""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,X,X,,,,
<http://dbpedia.org/ontology/location>:-:<http://dbpedia.org/resource/Ohio_State_Route_511>,,,,,,X,,,X,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Barns_on_the_National_Register_of_Historic_Places_in_Ohio>,,,,X,,X,,,X,,X,X,,,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Reamer_Barn.jpg?width=300>,,X,,X,,,,,X,,X,X,X,,
"<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:National_Register_of_Historic_Places_in_Lorain_County,_Ohio>",,,,,,X,,,X,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Buildings_and_structures_completed_in_1897>,,,,,,,,X,X,,X,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Reamer Barn""@en",,X,,X,,,,,,,,X,X,,
<http://dbpedia.org/ontology/location>:-:<http://dbpedia.org/resource/Ohio>,,,,,,X,,,X,,X,,,,
"<http://dbpedia.org/ontology/added>:-:""1979-03-21""^^<http://www.w3.org/2001/XMLSchema#date>",,,,,,,X,,,,X,,,,
"<http://www.georss.org/georss/point>:-:""41.29388888888889 -82.245""",X,,,,X,,,,,,,,,,X
"<http://dbpedia.org/ontology/nrhpReferenceNumber>:-:""79001889""",,,X,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Place>,,,,,,,,,,,X,,,,
"<http://www.w3.org/2003/01/geo/wgs84_pos#long>:-:""-82.245""^^<http://www.w3.org/2001/XMLSchema#float>",X,,,,X,,,,,,X,,,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Reamer_Barn.jpg>,,X,,X,,,,,X,,X,X,X,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Reamer Barn""@en",,X,,X,,,,,,,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Location>,,,,,,,,,X,,X,,,,
"<http://dbpedia.org/ontology/yearOfConstruction>:-:""1897""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,,,,X,X,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/HistoricPlace>,,,,,,,,,X,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Place>,,,,,,,,,X,,X,,,,
"<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Buildings_and_structures_in_Lorain_County,_Ohio>",,,,,,X,,,X,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Art_Nouveau_commercial_buildings>,,,,,,,,,X,,X,,,X,
"<http://www.w3.org/2003/01/geo/wgs84_pos#lat>:-:""41.293888""^^<http://www.w3.org/2001/XMLSchema#float>",,,,,,,,,,,X,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/LandmarksOrHistoricalBuildings>,,,,,,,,,X,,X,,,,
"<http://dbpedia.org/ontology/location>:-:<http://dbpedia.org/resource/Oberlin,_Ohio>",,,,,,X,,,X,,X,,,,
<http://dbpedia.org/ontology/architecturalStyle>:-:<http://dbpedia.org/resource/Art_Nouveau>,,,,,,,,,X,,X,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Art_Nouveau_architecture_in_the_United_States>,,,,,,X,,,X,,X,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing>,,,,,,,,,X,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,X,,X,,,,
