,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/length>,<http://dbpedia.org/ontology/routeTypeAbbreviation>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://xmlns.com/foaf/0.1/depiction>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Artifact100021939>,,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,X,,,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""Richmond–Petersburg Turnpike""@en",X,,X,X,,X,X,X
"<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Construction_of_Interstate_95,_downtown_Richmond_(2899336022).jpg>",X,,X,,X,X,,X
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Richmond–Petersburg Turnpike""@en",X,,X,X,,X,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Place>,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Highway103519981>,,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Road104096066>,,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Place>,,,X,,,X,,
"<http://dbpedia.org/ontology/routeTypeAbbreviation>:-:""I""",,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/FormerTollRoadsInTheUnitedStates>,,,X,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/TollRoadsInVirginia>,,,X,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Expressway103306610>,,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/RouteOfTransportation>,X,,X,,X,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Way104564698>,,,X,,,X,,
"<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Transportation_in_Richmond,_Virginia>",X,,X,,X,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Location>,,,X,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Former_toll_roads_in_Virginia>,,,X,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,X,,,X,,
"<http://dbpedia.org/ontology/length>:-:""56327.04""^^<http://www.w3.org/2001/XMLSchema#double>",,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/ArchitecturalStructure>,,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Turnpike104501018>,,,X,X,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoGeoEntity>,,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Road>,,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity>,,,X,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Tolled_sections_of_Interstate_Highways>,X,,X,,X,X,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Interstate_85>,X,,X,,X,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,X,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Interstate_95>,X,,X,,X,X,,X
"<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Transportation_in_Petersburg,_Virginia>",,,X,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Infrastructure>,,,X,,X,X,,
"<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Construction_of_Interstate_95,_downtown_Richmond_(2899336022).jpg?width=300>",X,,X,,X,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q34442>,,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,X,,X,X,,
