,<http://dbpedia.org/ontology/areaTotal>,<http://dbpedia.org/ontology/postalCode>,<http://dbpedia.org/ontology/populationTotal>,<http://dbpedia.org/ontology/thumbnail>,<http://www.w3.org/2003/01/geo/wgs84_pos#long>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://www.georss.org/georss/point>,<http://xmlns.com/foaf/0.1/homepage>,<http://dbpedia.org/ontology/country>,<http://dbpedia.org/ontology/district>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://dbpedia.org/ontology/areaCode>,<http://dbpedia.org/ontology/federalState>,<http://xmlns.com/foaf/0.1/depiction>,<http://dbpedia.org/ontology/populationAsOf>,<http://dbpedia.org/ontology/elevation>,<http://www.w3.org/2003/01/geo/wgs84_pos#lat>
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Uelsby_Wappen.png?width=300>,,,,X,,X,,,,,,,,,X,,,
"<http://dbpedia.org/ontology/areaTotal>:-:""1.06E7""^^<http://www.w3.org/2001/XMLSchema#double>",X,,,,,,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoGeoEntity>,,,,,,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,,,,,X,,,,,,
<http://dbpedia.org/ontology/country>:-:<http://dbpedia.org/resource/Germany>,,,,,,,,,X,,,,,,,,,
"<http://dbpedia.org/ontology/elevation>:-:""34.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,,,,,,,,X,
<http://xmlns.com/foaf/0.1/homepage>:-:<http://www.amt-suedangeln.de/>,,,,,,,,X,,,,,,,,,,
"<http://dbpedia.org/ontology/areaCode>:-:""SL""",,,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity>,,,,,,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Place>,,,,,,,,,,,,X,,,,,,
