,<http://dbpedia.org/ontology/postalCode>,<http://www.w3.org/2003/01/geo/wgs84_pos#long>,<http://dbpedia.org/ontology/areaTotal>,<http://dbpedia.org/ontology/populationTotal>,<http://dbpedia.org/ontology/thumbnail>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://www.georss.org/georss/point>,<http://xmlns.com/foaf/0.1/homepage>,<http://dbpedia.org/ontology/country>,<http://dbpedia.org/ontology/district>,<http://dbpedia.org/ontology/city>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://dbpedia.org/ontology/areaCode>,<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,<http://dbpedia.org/ontology/populationAsOf>,<http://dbpedia.org/ontology/elevation>,<http://xmlns.com/foaf/0.1/depiction>
"<http://dbpedia.org/ontology/populationTotal>:-:""3073""^^<http://www.w3.org/2001/XMLSchema#nonNegativeInteger>",,,,X,,,,,,,,,,,,,,
"<http://dbpedia.org/ontology/elevation>:-:""257.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,,,,,,,,X,
"<http://www.w3.org/2003/01/geo/wgs84_pos#long>:-:""10.35""^^<http://www.w3.org/2001/XMLSchema#float>",,X,,,,,X,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Location>,,,,,,,,,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Geography_of_Thuringia>,,,,,,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Place>,,,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Settlement>,,,,,,,,,,,,,X,,,,,
"<http://dbpedia.org/ontology/areaCode>:-:""SM""",,,,,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/district>:-:<http://dbpedia.org/resource/Schmalkalden-Meiningen>,,,,,,,,,,X,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Place>,,,,,,,,,,,,,X,,,,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Wappen_Wernshausen.png>,,,,,X,X,,,,,,,,,,,,X
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Wappen_Wernshausen.png?width=300>,,,,,X,X,,,,,,,,,,,,X
<http://dbpedia.org/ontology/city>:-:<http://dbpedia.org/resource/Schmalkalden>,,,,,,,,,,,X,,,,,,,
"<http://www.georss.org/georss/point>:-:""50.71666666666667 10.35""",,X,,,,,X,,,,,,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Wernshausen""@en",,,,,,X,,,,,,,,,,,,
<http://xmlns.com/foaf/0.1/homepage>:-:<http://wernshausen.de/>,,,,,,X,,X,,,,,,,,,,
"<http://dbpedia.org/ontology/areaCode>:-:""036848""",,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/PopulatedPlace>,,,,,,,,,,,,,X,,,,,
"<http://dbpedia.org/ontology/areaTotal>:-:""2.629E7""^^<http://www.w3.org/2001/XMLSchema#double>",,,X,,,,,,,,,,,,,,,
<http://dbpedia.org/ontology/country>:-:<http://dbpedia.org/resource/Germany>,,,,,,,,,X,,,,,,,,,
"<http://dbpedia.org/ontology/postalCode>:-:""98590""",X,,,,,,,,,,,,,,,,,
"<http://dbpedia.org/ontology/populationAsOf>:-:""2006-12-31""^^<http://www.w3.org/2001/XMLSchema#date>",,,,,,,,,,,,,,,,X,,
"<http://www.w3.org/2003/01/geo/wgs84_pos#lat>:-:""50.716667""^^<http://www.w3.org/2001/XMLSchema#float>",,,,,,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q486972>,,,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing>,,,,,,,,,,,,,X,,,,,
