,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/deathYear>,<http://dbpedia.org/ontology/birthDate>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://xmlns.com/foaf/0.1/givenName>,<http://dbpedia.org/ontology/deathDate>,<http://dbpedia.org/ontology/birthYear>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/elements/1.1/description>,<http://xmlns.com/foaf/0.1/surname>,<http://xmlns.com/foaf/0.1/depiction>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Leader109623038>,,,,,,,,,X,,,,
"<http://xmlns.com/foaf/0.1/surname>:-:""Kippis""@en",,,,X,,,,,,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Administrator109770949>,,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Person>,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Fellows_of_the_Royal_Society>,,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Organism100004475>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Person>,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1725_births>,,,,,,,X,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:People_educated_at_Carre's_Grammar_School>,,,,,,,,X,X,,,,
"<http://dbpedia.org/ontology/birthDate>:-:""1725-03-28""^^<http://www.w3.org/2001/XMLSchema#date>",,,X,,,,X,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PeopleFromNottingham>,,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Executive110069645>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/FellowsOfTheRoyalSociety>,,,,,,,,X,X,,,,
"<http://dbpedia.org/ontology/deathYear>:-:""1795""^^<http://www.w3.org/2001/XMLSchema#gYear>",,X,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Head110162991>,,,,,,,,,X,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Kippis, Andrew""@en",X,,,X,X,,,,,X,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Burials_at_Bunhill_Fields>,,,,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:People_from_Nottingham>,,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActor>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Colleague109935990>,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Andrew_Kippis.jpg?width=300>,X,,,X,X,,,X,,X,,X,X
"<http://dbpedia.org/ontology/birthYear>:-:""1725""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,,,X,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Educator110045713>,,,,,,,,X,X,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Andrew Kippis""@en",X,,,X,X,,,,,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Teacher110694258>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/DissentingAcademyTutors>,,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,,,,,X,,,,
"<http://purl.org/dc/elements/1.1/description>:-:""British minister""@en",,,,,,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Minister110320863>,,,,,,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Peer109626238>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:18th-century_Presbyterian_ministers>,,,,,,,,X,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Adult109605289>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Person100007846>,,,,,,,,,X,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Andrew Kippis""@en",X,,,X,X,,,,,X,,X,X
"<http://purl.org/dc/elements/1.1/description>:-:""British minister""",,,,,,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Professional110480253>,,,,,,,,X,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Dissenting_academy_tutors>,,,,,,,,X,X,,,,
"<http://dbpedia.org/ontology/deathDate>:-:""1795-10-08""^^<http://www.w3.org/2001/XMLSchema#date>",,X,,,,X,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson>,,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1795_deaths>,,X,,,,,,X,,,,,
"<http://xmlns.com/foaf/0.1/givenName>:-:""Andrew""@en",X,,,X,X,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Associate109816771>,,,,,,,,X,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:English_Christian_religious_leaders>,,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/EnglishChristianMinisters>,,,,,,,,X,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Coach109931418>,,,,,,,,,X,,,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Andrew_Kippis.jpg>,X,,,X,X,,,X,,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q215627>,,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q5>,,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/CausalAgent100007347>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingThing100004258>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent>,,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Agent>,,,,,,,,,X,,,,
