,<http://dbpedia.org/ontology/postalCode>,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/address>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/openingYear>,<http://xmlns.com/foaf/0.1/depiction>,<http://dbpedia.org/ontology/country>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/passengersPerDay>,<http://dbpedia.org/ontology/operatedBy>,<http://dbpedia.org/ontology/servingRailwayLine>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/RailwayStation>,,,,X,,,,X,X,,,X,X
"<http://dbpedia.org/ontology/openingYear>:-:""1976""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,X,,,,,,,,
<http://dbpedia.org/ontology/country>:-:<http://dbpedia.org/resource/Japan>,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Place>,,,,,,,,,X,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""弥生台""@ja",,,,,,,,,,X,,,
"<http://dbpedia.org/ontology/address>:-:""5-2 Yayoidai""@en",,,X,X,,,,,,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Yayoidai""@en",,,X,X,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Location>,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/servingRailwayLine>:-:<http://dbpedia.org/resource/Sagami_Railway_Izumino_Line>,,,,,,,,X,X,,,X,X
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Sagami-railway-izumino-line-Yayoidai-station-south-entrance.jpg?width=300>,,X,X,X,,X,,X,X,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Infrastructure>,,,,,,,,X,X,,,,
"<http://dbpedia.org/ontology/address>:-:""神奈川県 横浜市泉区弥生台５－２""@ja",,,X,,,,,,,,,,
<http://dbpedia.org/ontology/operatedBy>:-:<http://dbpedia.org/resource/Sagami_Railway>,,,,,,,,X,X,,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Railway_stations_in_Yokohama>,,,,X,,,,X,X,,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Place>,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/postalCode>:-:""245-0008""",X,,,,,,,,,,,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Sagami-railway-izumino-line-Yayoidai-station-south-entrance.jpg>,,,X,X,,X,,X,X,X,,X,X
"<http://dbpedia.org/ontology/passengersPerDay>:-:""16032""^^<http://www.w3.org/2001/XMLSchema#nonNegativeInteger>",,,,,,,,X,,,X,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Yayoidai Station""@en",,,X,X,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Station>,,,,X,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/ArchitecturalStructure>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q55488>,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q719456>,,,,,,,,,X,,,,
