,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/genus>,<http://dbpedia.org/ontology/binomialAuthority>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/kingdom>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/order>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/conservationStatus>,<http://dbpedia.org/ontology/class>,<http://xmlns.com/foaf/0.1/depiction>,<http://dbpedia.org/ontology/family>,<http://dbpedia.org/ontology/conservationStatusSystem>,<http://dbpedia.org/ontology/phylum>
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Rodents_of_Indonesia>,,,,,,X,X,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Eukaryote>,,,,,,,,X,,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Bornean mountain ground squirrel""@en",X,X,,X,,,,,X,,,X,X,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Squirrel>,X,X,,X,,,,,X,,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Animal>,,,,,X,,,X,,,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Bornean Mountain Ground Squirrel""@en",X,X,,X,,,,,X,,,X,X,,
<http://dbpedia.org/ontology/binomialAuthority>:-:<http://dbpedia.org/resource/Oldfield_Thomas>,,,X,,,,,,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Rodents_of_Malaysia>,,,,,,X,X,,,,,,,,
"<http://dbpedia.org/ontology/conservationStatusSystem>:-:""iucn3.1""",,,,,,,,,,,,,,X,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Bornean_Mountain_Ground_Squirrel_(Dremomys_everetti)_(7113326479).jpg>,X,X,,X,,X,,,X,,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Mammal>,,,,,,,,X,,,X,,,,
<http://dbpedia.org/ontology/kingdom>:-:<http://dbpedia.org/resource/Animal>,,,,,X,,,X,,,,,,,
<http://dbpedia.org/ontology/class>:-:<http://dbpedia.org/resource/Mammal>,,,,,,,,X,,,X,,,,
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Red-cheeked_squirrel>,X,X,,X,,,,,X,,,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Dremomys>,,,,,,X,,,,,,,,,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Bornean_Mountain_Ground_Squirrel_(Dremomys_everetti)_(7113326479).jpg?width=300>,X,X,,X,,X,,,X,,,X,X,,
<http://dbpedia.org/ontology/phylum>:-:<http://dbpedia.org/resource/Chordate>,,,,,,,,,,,,,,,X
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Rodent>,,,,,,,X,,,,,,,,
"<http://dbpedia.org/ontology/conservationStatus>:-:""LC""",,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Species>,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q19088>,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q7377>,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q729>,,,,,,,,X,,,,,,,
