,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/genus>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/kingdom>,<http://dbpedia.org/ontology/order>,<http://dbpedia.org/ontology/class>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/phylum>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/conservationStatus>,<http://dbpedia.org/ontology/family>,<http://dbpedia.org/ontology/species>,<http://dbpedia.org/ontology/conservationStatusSystem>,<http://xmlns.com/foaf/0.1/depiction>
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Sumatran_rhinoceros>,,X,X,,,,X,,,X,,X,X,,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Odd-toed_ungulate>,,,,,X,,,,,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Eastern Sumatran rhinoceros""@en",,X,X,,,,X,,,X,,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Species_made_extinct_by_human_activities>,,,,,,,X,,X,,,,,,
<http://dbpedia.org/ontology/species>:-:<http://dbpedia.org/resource/Sumatran_rhinoceros>,,X,X,,,,X,,,X,,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Rhinoceroses>,,X,X,,,,X,,,X,,X,X,,
<http://dbpedia.org/ontology/kingdom>:-:<http://dbpedia.org/resource/Animal>,,,,X,,,,,X,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Mammals_of_Indonesia>,,,,,,X,X,,X,,,,,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Rhinoceros>,,X,X,,,,X,,,X,,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Mammals_of_Southeast_Asia>,,,,,,X,X,,X,,,,,,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Patung_badak_sumbu.JPG?width=300>,X,,,,,,,,,,,,,,X
<http://dbpedia.org/ontology/phylum>:-:<http://dbpedia.org/resource/Chordate>,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Mammal>,,,,,,X,X,,X,,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Eastern Sumatran rhinoceros""@en",,X,X,,,,X,,,X,,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Mammals_of_Borneo>,,,,,,X,X,,X,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Mammals_of_Malaysia>,,,,,,X,X,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Animal>,,,,X,,,,,X,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Mammal_extinctions_since_1500>,,,,,,X,X,,X,,,,,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Patung_badak_sumbu.JPG>,X,,,,,,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Eukaryote>,,,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Species>,,,,,,,X,,X,,,,,,
<http://dbpedia.org/ontology/class>:-:<http://dbpedia.org/resource/Mammal>,,,,,,X,X,,X,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Animals_described_in_1965>,,,,X,,,X,,X,,,,,,
"<http://dbpedia.org/ontology/conservationStatus>:-:""EW""",,,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/conservationStatusSystem>:-:""iucn3.1""",,,,,,,,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,X,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q729>,,,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q19088>,,,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q7377>,,,,,,,,,X,,,,,,
