,<http://dbpedia.org/ontology/division>,<http://dbpedia.org/ontology/genus>,<http://dbpedia.org/ontology/binomialAuthority>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/kingdom>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/order>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://dbpedia.org/ontology/family>,<http://dbpedia.org/ontology/class>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/DeadlyFungi>,,,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Organism100004475>,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Fungus>,,,,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/FungiOfEurope>,,,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PoisonousFungi>,,,,,,X,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Deadly_fungi>,,,,,,X,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Poisonous_fungi>,,,,,,X,,X,,
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Lepiota>,,X,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Agaricaceae>,,,,,,X,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Fungi_of_Europe>,,,,,,X,,X,,
<http://dbpedia.org/ontology/binomialAuthority>:-:<http://dbpedia.org/resource/Giacomo_Bresadola>,,,X,,,,,,,
<http://dbpedia.org/ontology/kingdom>:-:<http://dbpedia.org/resource/Fungus>,,,,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Eukaryote>,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/FungiDescribedIn1882>,,,,,,X,,X,,
<http://dbpedia.org/ontology/division>:-:<http://dbpedia.org/resource/Basidiomycota>,X,,,,,,,,,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Agaricales>,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Fungus112992868>,,,,,X,,,X,,
<http://dbpedia.org/ontology/class>:-:<http://dbpedia.org/resource/Agaricomycetes>,,,,,,,,,,X
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Agaricaceae>,,,,,,X,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Species>,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Fungi_described_in_1882>,,,,,,X,,X,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Lepiota helveola""@en",,X,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q19088>,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingThing100004258>,,,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,X,,X,,
