,<http://dbpedia.org/ontology/division>,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/genus>,<http://dbpedia.org/ontology/binomialAuthority>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/kingdom>,<http://dbpedia.org/ontology/synonym>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/class>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/conservationStatus>,<http://dbpedia.org/ontology/family>,<http://xmlns.com/foaf/0.1/depiction>,<http://dbpedia.org/ontology/conservationStatusSystem>,<http://dbpedia.org/ontology/order>
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_China>,,X,,,,,,X,,X,,,,X,,
<http://dbpedia.org/ontology/kingdom>:-:<http://dbpedia.org/resource/Plant>,,X,,,,X,,X,,X,,,,X,,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Schizaeales>,,X,,,,,,,,,,,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,X,,,,,,,,X,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_Thailand>,,X,,,,,,X,,,,,,X,,
"<http://dbpedia.org/ontology/synonym>:-:""*Ophioglossum filiforme (Roxb.)""",,,,,,,X,,,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_the_Ryukyu_Islands>,,X,,,,,,X,,,,,,X,,
"<http://dbpedia.org/ontology/synonym>:-:""*L. scandens var. intermedium (Ces.)""",,X,,,,,X,X,,X,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Lygodium>,,X,X,,X,,,X,,,X,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Fern>,,X,,,,,,X,X,X,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Fern_species>,,X,,,,,,X,X,X,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_the_Northwestern_Pacific>,,X,,,,,,X,,,,,,X,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/ARS_Lygodium_microphyllum_foliage.jpg>,,X,X,,X,,X,X,,,X,,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Pteridophyta_of_Australasia>,,X,,,,,,X,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_Africa>,,X,,,,,,X,,,,,,X,,
<http://dbpedia.org/ontology/binomialAuthority>:-:<http://dbpedia.org/resource/Antonio_José_Cavanilles>,,X,,X,,,,,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_Fiji>,,X,,,,,,X,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Organism100004475>,,X,,,,,,,,X,,,,X,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Lygodium>,,X,X,,X,,,X,,,X,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,X,,,,,,,,X,,,,X,,
