,<http://dbpedia.org/ontology/phylum>,<http://dbpedia.org/ontology/genus>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/kingdom>,<http://dbpedia.org/ontology/synonym>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/order>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/family>,<http://dbpedia.org/ontology/class>
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Ovophis_chaseni>,,X,X,,X,,,,X,,
<http://dbpedia.org/ontology/kingdom>:-:<http://dbpedia.org/resource/Animal>,,,,X,,,,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Ovophis""@en",,X,X,,X,,,,X,,
<http://dbpedia.org/ontology/phylum>:-:<http://dbpedia.org/resource/Vertebrate>,X,,,,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Crotalinae>,,,,,X,X,,,,,
<http://dbpedia.org/ontology/phylum>:-:<http://dbpedia.org/resource/Chordate>,X,,,,,,,,,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Pit_viper>,,,,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Eukaryote>,,,,,,,,X,,,
"<http://dbpedia.org/ontology/synonym>:-:""In Romano-Hoge, 1981""",,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Animal>,,,,X,,,,X,,,
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Ovophis_monticola>,,X,X,,X,,,,X,,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Squamata>,,,,,,,X,,,,
"<http://dbpedia.org/ontology/synonym>:-:""* Ovophis Burger""",,X,X,,X,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Species>,,,,,,,,X,,,
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Ovophis_okinavensis>,,X,X,,X,,,,X,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Viperidae>,,,,,,,,,,X,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Snake>,,,,,,,X,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Ovophis""@en",,X,X,,X,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Reptile>,,,,,,,,X,,,X
<http://dbpedia.org/ontology/class>:-:<http://dbpedia.org/resource/Reptile>,,,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q729>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,X,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q19088>,,,,,,,,X,,,
