,<http://dbpedia.org/ontology/division>,<http://dbpedia.org/ontology/genus>,<http://dbpedia.org/ontology/binomialAuthority>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/kingdom>,<http://dbpedia.org/ontology/synonym>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/order>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://dbpedia.org/ontology/family>,<http://dbpedia.org/ontology/class>
"<http://dbpedia.org/ontology/synonym>:-:""*Rubus scolocaulon (Brandegee)""",,X,,X,,X,X,,,,
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Rubus>,,X,,X,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Plant>,X,,,,X,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Rubus>,,X,,X,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Plants_described_in_1914>,X,,,,X,,X,,X,,
<http://dbpedia.org/ontology/division>:-:<http://dbpedia.org/resource/Flowering_plant>,X,,,,X,,X,,X,,
<http://dbpedia.org/ontology/kingdom>:-:<http://dbpedia.org/resource/Plant>,X,,,,X,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Species>,,,,,,,,,X,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Rubus arizonensis""@en",,X,,X,,,X,,,,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Rosales>,,,,,,,,X,,,
<http://dbpedia.org/ontology/binomialAuthority>:-:<http://dbpedia.org/resource/Wilhelm_Olbers_Focke>,,,X,,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_Sonora>,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Eukaryote>,,,,,,,,,X,,
<http://dbpedia.org/ontology/class>:-:<http://dbpedia.org/resource/Eudicots>,,,,,,,,,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Flora_of_the_Southwestern_United_States>,,,,,,,X,,,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Rosaceae>,,,,,,,,,,X,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Rosids>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q19088>,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q756>,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,X,,X,,
