,<http://dbpedia.org/ontology/deathYear>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/birthDate>,<http://xmlns.com/foaf/0.1/givenName>,<http://dbpedia.org/ontology/deathDate>,<http://dbpedia.org/ontology/birthYear>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/elements/1.1/description>,<http://xmlns.com/foaf/0.1/surname>
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Alumni_of_the_University_of_Birmingham>,,,,,,,X,,,,
"<http://dbpedia.org/ontology/deathYear>:-:""2006""^^<http://www.w3.org/2001/XMLSchema#gYear>",X,,,,,,X,,,,
"<http://purl.org/dc/elements/1.1/description>:-:""British politician""",,,,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Person100007846>,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:UK_MPs_1983–87>,,,,,,,X,,,,
"<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:People_from_Birmingham,_West_Midlands>",,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Person>,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:UK_MPs_1987–92>,,,,,,,X,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Anthony Beaumont-Dark""@en",,X,,X,,,X,,X,,X
"<http://purl.org/dc/elements/1.1/description>:-:""British politician""@en",,,,,,,,,,X,
"<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PeopleFromBirmingham,WestMidlands>",,,,,,,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Conservative_Party_(UK)_MPs>,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,,,,X,,,
"<http://xmlns.com/foaf/0.1/givenName>:-:""Anthony""@en",,X,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,X,,,
"<http://dbpedia.org/ontology/birthYear>:-:""1932""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,,X,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Members_of_the_Parliament_of_the_United_Kingdom_for_English_constituencies>,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActor>,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Knights_Bachelor>,,,,,,,X,,,,
"<http://dbpedia.org/ontology/birthDate>:-:""1932-10-11""^^<http://www.w3.org/2001/XMLSchema#date>",,,X,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Person>,,,,,,,X,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Beaumont-Dark, Anthony""@en",,X,,X,,,X,,X,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:UK_MPs_1979–83>,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,X,,,
"<http://dbpedia.org/ontology/deathDate>:-:""2006-04-02""^^<http://www.w3.org/2001/XMLSchema#date>",X,,,,X,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:2006_deaths>,X,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,,,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Anthony Beaumont-Dark""@en",,X,,X,,,X,,X,,X
