,<http://dbpedia.org/ontology/phylum>,<http://dbpedia.org/ontology/genus>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/kingdom>,<http://dbpedia.org/ontology/synonym>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/class>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://dbpedia.org/ontology/family>,<http://dbpedia.org/ontology/order>
"<http://dbpedia.org/ontology/synonym>:-:""*Porcellio dimorphus""",,,X,,X,,,,,
"<http://dbpedia.org/ontology/synonym>:-:""*Trachelipus waechtleri""",,X,X,,X,,,,,
"<http://dbpedia.org/ontology/synonym>:-:""*Tracheoniscus waechtleri""",,,,,X,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Trachelipus dimorphus""@en",,X,X,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Eukaryote>,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Animal>,,,,X,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Crustacean>,X,,,,,,,X,,
<http://dbpedia.org/ontology/kingdom>:-:<http://dbpedia.org/resource/Animal>,,,,X,,,,X,,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Isopoda>,,,,,,,,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Trachelipodidae>,,,,,,X,,,X,
<http://dbpedia.org/ontology/phylum>:-:<http://dbpedia.org/resource/Crustacean>,X,,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Woodlice_of_Europe>,,,,,,X,,,,
"<http://dbpedia.org/ontology/synonym>:-:""*Tracheoniscus dimorphus""",,,X,,X,,,,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Trachelipodidae>,,,,,,X,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Species>,,,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Animals_described_in_1941>,,,,X,,X,,X,,
<http://dbpedia.org/ontology/phylum>:-:<http://dbpedia.org/resource/Arthropod>,X,,,,,,,,,
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Trachelipus>,,X,X,,,,,,,
<http://dbpedia.org/ontology/class>:-:<http://dbpedia.org/resource/Malacostraca>,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q729>,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q19088>,,,,,,,,X,,
