,<http://dbpedia.org/ontology/artist>,<http://dbpedia.org/ontology/genre>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/runtime>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/previousWork>,<http://dbpedia.org/ontology/subsequentWork>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/type>,<http://dbpedia.org/ontology/recordLabel>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Work>,X,,,,X,,,X,,,
"<http://dbpedia.org/ontology/runtime>:-:""2528.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,X,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/MusicalWork>,X,,,,X,X,X,X,,,
<http://dbpedia.org/ontology/subsequentWork>:-:<http://dbpedia.org/resource/MCMXCV_(album)>,,,,,,X,X,X,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Subway_to_Sally_albums>,X,,,,X,X,X,X,,X,
<http://dbpedia.org/ontology/recordLabel>:-:<http://dbpedia.org/resource/Red_Rooster_Records>,,,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/MusicAlbum>,,,,,,X,X,X,,X,
"<http://xmlns.com/foaf/0.1/name>:-:""Foppt den Dämon!""@en",,,X,,,X,X,,X,,
<http://dbpedia.org/ontology/artist>:-:<http://dbpedia.org/resource/Subway_to_Sally>,X,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Album>,X,,,,X,X,X,X,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1996_albums>,,,,,X,X,X,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/CreativeWork>,,,,,,X,X,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Foppt den Dämon!""@en",,,X,,,X,X,,X,,
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Medieval_folk_rock>,,X,,,,X,X,,,,
<http://dbpedia.org/ontology/type>:-:<http://dbpedia.org/resource/Album>,,,,,,X,X,X,,X,
<http://dbpedia.org/ontology/subsequentWork>:-:<http://dbpedia.org/resource/Bannkreis>,,,,,,X,X,,,,
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/MCMXCV_(album)>,,,,,,X,X,X,,X,
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Medieval_metal>,,X,,,,X,X,,,,
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/Bannkreis>,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q2188189>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q386724>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q482994>,,,,,,,,X,,,
