,<http://dbpedia.org/ontology/musicalBand>,<http://dbpedia.org/ontology/musicalArtist>,<http://dbpedia.org/ontology/releaseDate>,<http://dbpedia.org/ontology/genre>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/runtime>,<http://dbpedia.org/ontology/bSide>,<http://dbpedia.org/ontology/album>,<http://dbpedia.org/ontology/previousWork>,<http://dbpedia.org/ontology/subsequentWork>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/recordLabel>
"<http://xmlns.com/foaf/0.1/name>:-:""Hey Boy""@en",,,,,X,,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Teddybears_songs>,X,X,,,,,X,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,,,X,X,X,X,X,,
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Electronica>,,,,X,,,X,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Instrumentality103575240>,,,,,,,,X,X,X,X,X,,
<http://dbpedia.org/ontology/subsequentWork>:-:<http://dbpedia.org/resource/Cobrastyle>,,,,,,,,X,X,X,,,,
<http://dbpedia.org/ontology/musicalArtist>:-:<http://dbpedia.org/resource/Blog_27>,X,X,,,,,,X,,,,,X,
<http://dbpedia.org/ontology/recordLabel>:-:<http://dbpedia.org/resource/Kontor_Rec>,,,,,,,X,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/MusicalWork>,,,,X,,,X,X,,,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Hey Boy (Teddybears song)""@en",X,X,,,X,,X,X,,,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/2004Singles>,,,,,,,,X,X,X,X,X,X,
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/Wid_Out_Ya>,,,,,,,,,X,X,,,,
"<http://dbpedia.org/ontology/runtime>:-:""221.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,X,,X,,,,,,
"<http://dbpedia.org/ontology/releaseDate>:-:""2006-04-21""^^<http://www.w3.org/2001/XMLSchema#date>",,,X,,,,,X,,,,,X,
<http://dbpedia.org/ontology/musicalBand>:-:<http://dbpedia.org/resource/Teddybears>,X,X,,,,,,,,,,,X,
<http://dbpedia.org/ontology/recordLabel>:-:<http://dbpedia.org/resource/Epic_Records>,,,,,,,,,,,,,X,X
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/Cobrastyle>,,,,,,,,X,X,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Blog_27_songs>,X,X,,,,,X,X,,,,,X,
<http://dbpedia.org/ontology/subsequentWork>:-:<http://dbpedia.org/resource/Uh_La_La_La>,,,,,,,,X,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Single>,,,,,,,X,X,,,X,,,
<http://dbpedia.org/ontology/musicalArtist>:-:<http://dbpedia.org/resource/Teddybears>,X,X,,,,,,,,,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:2006_singles>,,,,,,,,X,,,X,,X,
<http://dbpedia.org/ontology/subsequentWork>:-:<http://dbpedia.org/resource/Wid_Out_Ya>,,,,,,,,,X,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:2004_singles>,,,,,,,,X,,,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Work>,,,,,,,X,X,,,X,,,
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Hip_hop_music>,,,,X,,,,,,,,,,
"<http://dbpedia.org/ontology/bSide>:-:""\""Turn You On to Music\""""",,,,X,,,X,,,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Hey Boy (Get Your Ass Up)""@en",,,,,X,,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Artifact100021939>,,,,,,,,X,X,X,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,X,X,X,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:2004_songs>,,,,,,,X,,,,X,,X,
<http://dbpedia.org/ontology/album>:-:<http://dbpedia.org/resource/Fresh_(Teddybears_album)>,X,X,,,X,,,X,,,,,X,
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Pop_music>,,,,X,,,,,,,,,,
<http://dbpedia.org/ontology/musicalBand>:-:<http://dbpedia.org/resource/Blog_27>,X,X,,,,,,X,,,,,X,
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/Uh_La_La_La>,,,,,,,,X,X,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Epic_Records_singles>,,,,,,,,X,,,X,,X,X
<http://dbpedia.org/ontology/album>:-:<http://dbpedia.org/resource/LOL_(Blog_27_album)>,X,X,,,,,,X,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/CreativeWork>,,,,,,,,,,,X,,,
