,<http://dbpedia.org/ontology/starring>,<http://dbpedia.org/ontology/releaseDate>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/distributor>,<http://dbpedia.org/ontology/runtime>,<http://dbpedia.org/ontology/director>,<http://dbpedia.org/ontology/gross>,<http://dbpedia.org/ontology/producer>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/editing>,<http://dbpedia.org/ontology/writer>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Movie>,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/writer>:-:<http://dbpedia.org/resource/Leigh_Chapman>,,,,,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PsychologicalFeature100023100>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Creation103129123>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Work>,,,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:American_films>,,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity>,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/editing>:-:<http://dbpedia.org/resource/William_Steinkamp>,,,,,,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Joseph_Bottoms>,X,,,,,,,,,,,,
"<http://dbpedia.org/ontology/gross>:-:""2100000.0""^^<http://dbpedia.org/datatype/usDollar>",,,,,,,X,,,,,,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Seymour_Cassel>,X,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/SocialEvent107288639>,,,,,,,,,,X,,,
"<http://dbpedia.org/ontology/releaseDate>:-:""1981-05-01""^^<http://www.w3.org/2001/XMLSchema#date>",,X,,,,,,,X,X,,,
<http://dbpedia.org/ontology/writer>:-:<http://dbpedia.org/resource/H.R._Christian>,,,,,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Movie106613686>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Wikidata:Q11424>,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Dennis_Hopper>,X,,,,,,,,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""King of the Mountain""@en",,,X,,,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1981_films>,,,,,,,,,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Auto_racing_films>,,,,,,,,,X,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""King of the Mountain (film)""@en",,,X,,,,,,,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Universal_Pictures_films>,,,,X,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Abstraction100002137>,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Harry_Hamlin>,X,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/AmericanFilms>,,,,,,,,,X,X,,,
<http://dbpedia.org/ontology/director>:-:<http://dbpedia.org/resource/Noel_Nosseck>,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/CreativeWork>,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Deborah_Van_Valkenburgh>,X,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Product104007894>,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/producer>:-:<http://dbpedia.org/resource/Jack_Frost_Sanders>,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Artifact100021939>,,,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:PolyGram_Filmed_Entertainment_films>,,,,,,,,,X,X,,,
"<http://dbpedia.org/ontology/runtime>:-:""5400.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,X,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Film>,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/distributor>:-:<http://dbpedia.org/resource/Universal_Studios>,,,,X,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Richard_Cox_(actor)>,X,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Event100029378>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Show106619065>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/1981Films>,,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q386724>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,,X,,,
