,<http://dbpedia.org/ontology/starring>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/distributor>,<http://dbpedia.org/ontology/runtime>,<http://dbpedia.org/ontology/director>,<http://dbpedia.org/ontology/musicComposer>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/cinematography>
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Paramount_Pictures_films>,,X,X,,,,X,X,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:English-language_films>,,X,,,,,X,X,X,
<http://dbpedia.org/ontology/cinematography>:-:<http://dbpedia.org/resource/Victor_Milner>,,X,,,,,,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Work>,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/CreativeWork>,,,,,,,,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""Our Leading Citizen""@en",,X,,,,,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:American_comedy_films>,,X,,,,,X,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Movie>,,,,,,,,X,,
<http://dbpedia.org/ontology/director>:-:<http://dbpedia.org/resource/Alfred_Santell>,,X,,,X,,X,,X,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Charles_Bickford>,X,X,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Film>,,,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Films_directed_by_Alfred_Santell>,,X,,,X,,X,X,X,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Susan_Hayward>,X,X,,,,,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1930s_comedy_films>,,X,,,,,X,X,X,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Bob_Burns_(comedian)>,X,X,,,,,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:American_films>,,X,,,,,X,X,X,
"<http://dbpedia.org/ontology/runtime>:-:""5340.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Wikidata:Q11424>,,,,,,,,X,,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Elizabeth_Patterson_(actress)>,X,X,,,,,,,X,
<http://dbpedia.org/ontology/distributor>:-:<http://dbpedia.org/resource/Paramount_Pictures>,,X,X,,,,X,,X,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Our Leading Citizen (1939 film)""@en",,X,,,,,X,X,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1939_films>,,X,,,,,X,X,X,
<http://dbpedia.org/ontology/starring>:-:<http://dbpedia.org/resource/Gene_Lockhart>,X,X,,,,,,,X,
<http://dbpedia.org/ontology/musicComposer>:-:<http://dbpedia.org/resource/Gerard_Carbonara>,,X,,,,X,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q386724>,,,,,,,,X,,
