,<http://dbpedia.org/ontology/releaseDate>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/genre>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/producer>,<http://dbpedia.org/ontology/previousWork>,<http://dbpedia.org/ontology/type>,<http://dbpedia.org/ontology/subsequentWork>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/artist>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/CreativeWork>,,,,,,X,X,X,X,,
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Acoustic_music>,,,X,,,X,X,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Album>,,,,,,X,X,X,X,,
<http://dbpedia.org/ontology/producer>:-:<http://dbpedia.org/resource/Jonah_Matranga>,,X,,,X,X,X,X,,,X
<http://dbpedia.org/ontology/type>:-:<http://dbpedia.org/resource/EP>,,,,X,,X,X,X,,,
"<http://dbpedia.org/ontology/releaseDate>:-:""1999-10-19""^^<http://www.w3.org/2001/XMLSchema#date>",X,,,X,,X,X,X,,X,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Sketchy EP 1""@en",,,,X,,X,X,X,,X,
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/Jonah's_One-line_Drawing>,,X,,,X,X,X,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Work>,,,,,,X,X,X,X,,
<http://dbpedia.org/ontology/subsequentWork>:-:<http://dbpedia.org/resource/Jonah's_One-line_Drawing>,,X,,,X,X,X,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/MusicalWork>,,,X,,,X,X,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Jonah_Matranga_albums>,,X,,,X,X,X,X,X,,X
<http://dbpedia.org/ontology/artist>:-:<http://dbpedia.org/resource/Jonah_Matranga>,,X,,,X,X,X,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/MusicAlbum>,,,X,,,X,X,X,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""Sketchy EP #1""@en",,,,X,,X,X,X,,X,
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/Sketchy_EP_2>,,,,X,,X,X,X,,,
<http://dbpedia.org/ontology/subsequentWork>:-:<http://dbpedia.org/resource/Sketchy_EP_2>,,,,X,,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q386724>,,,,,,X,X,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,X,X,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q482994>,,,,,,X,X,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q2188189>,,,,X,,X,X,X,X,X,
