,<http://dbpedia.org/ontology/releaseDate>,<http://dbpedia.org/ontology/genre>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/runtime>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/previousWork>,<http://dbpedia.org/ontology/subsequentWork>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/artist>,<http://dbpedia.org/ontology/recordLabel>
"<http://dbpedia.org/ontology/releaseDate>:-:""1994-11-10""^^<http://www.w3.org/2001/XMLSchema#date>",X,,,,X,,,X,,,
<http://dbpedia.org/ontology/recordLabel>:-:<http://dbpedia.org/resource/Cinepoly_Records>,,,,,X,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Album>,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Mandopop_albums>,,X,,,X,,,X,,,
<http://dbpedia.org/ontology/subsequentWork>:-:<http://dbpedia.org/resource/Please_Myself>,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Albums_by_Singaporean_artists>,,,,,X,,,X,,,
<http://dbpedia.org/ontology/recordLabel>:-:<http://dbpedia.org/resource/Sony_Music_Entertainment>,,,,,X,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Instrumentality103575240>,,,,,,,,X,,,
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/Please_Myself>,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/CinepolyRecordsAlbums>,,,,,X,,,X,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Sony_Music_Entertainment_albums>,,,,,X,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Album106591815>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/MandopopAlbums>,,X,,,X,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Work>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/MusicAlbum>,,,,,X,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Medium106254669>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/CreativeWork>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/FayeWongAlbums>,,,X,,X,X,X,X,,X,
<http://dbpedia.org/ontology/artist>:-:<http://dbpedia.org/resource/Faye_Wong>,,,X,,X,X,X,X,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Faye_Wong_albums>,,,X,,X,X,X,X,,X,
<http://dbpedia.org/ontology/previousWork>:-:<http://dbpedia.org/resource/Random_Thoughts_(Faye_Wong_album)>,,,X,,X,X,X,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/MusicalWork>,,,,,X,,,X,,,X
<http://dbpedia.org/ontology/subsequentWork>:-:<http://dbpedia.org/resource/Random_Thoughts_(Faye_Wong_album)>,,,X,,X,X,X,X,,X,
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Mandopop>,,X,,,X,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Cinepoly_Records_albums>,,,,,X,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/1994Albums>,,,,,X,,,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Tian Kong (Sky)""@en",,,X,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1994_albums>,,,,,X,,,X,,,
"<http://dbpedia.org/ontology/runtime>:-:""2819.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Artifact100021939>,,,,,,,,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Sky (Faye Wong album)""@en",,,X,,X,X,X,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q2188189>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q386724>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q482994>,,,,,,,,X,,,
