,<http://dbpedia.org/ontology/musicalBand>,<http://dbpedia.org/ontology/musicalArtist>,<http://dbpedia.org/ontology/genre>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/album>,<http://dbpedia.org/ontology/runtime>,<http://dbpedia.org/ontology/producer>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/recordLabel>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/1992Singles>,,,,,,,,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Songs_written_by_Chris_Robinson_(singer)>,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1992_singles>,,,,,,,,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Southern_rock_songs>,X,X,X,,X,,X,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1992_songs>,,,,,,,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Work>,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/MusicalWork>,,,,,X,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Single>,,,,,,,,,X,,
<http://dbpedia.org/ontology/producer>:-:<http://dbpedia.org/resource/George_Drakoulias>,,,,,,,X,,,,
<http://dbpedia.org/ontology/recordLabel>:-:<http://dbpedia.org/resource/American_Recordings_(record_label)>,,,,X,,,,X,,X,X
<http://dbpedia.org/ontology/album>:-:<http://dbpedia.org/resource/The_Southern_Harmony_and_Musical_Companion>,X,X,X,,X,,X,X,X,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Sting Me""@en",,,,X,,,,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Billboard_Mainstream_Rock_number-one_singles>,,,X,,,,,X,X,,
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Blues_rock>,,,X,,,,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Medium106254669>,,,,X,,,,,X,X,
"<http://xmlns.com/foaf/0.1/name>:-:""Sting Me""@en",,,,X,,,,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Songs_written_by_Rich_Robinson>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Artifact100021939>,,,,,,,,,X,,
<http://dbpedia.org/ontology/musicalBand>:-:<http://dbpedia.org/resource/The_Black_Crowes>,X,X,,,X,,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:American_Recordings_(record_label)_singles>,,,,X,,,,X,X,X,X
<http://dbpedia.org/ontology/musicalArtist>:-:<http://dbpedia.org/resource/The_Black_Crowes>,X,X,,,X,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/CreativeWork>,,,,,,,,,X,,
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Southern_rock>,X,X,X,,X,,X,X,X,,
"<http://dbpedia.org/ontology/runtime>:-:""279.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,X,,,,,
<http://dbpedia.org/ontology/producer>:-:<http://dbpedia.org/resource/The_Black_Crowes>,X,X,,,X,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Instrumentality103575240>,,,,X,,,,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/BillboardHotMainstreamRockTracksNumber-oneSingles>,,,X,,,,,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Blues_rock_songs>,,,X,,,,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:The_Black_Crowes_songs>,X,X,,,X,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q134556>,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q2188189>,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q386724>,,,,,,,,,X,,
