,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/birthDate>,<http://dbpedia.org/ontology/position>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://xmlns.com/foaf/0.1/givenName>,<http://xmlns.com/foaf/0.1/depiction>,<http://dbpedia.org/ontology/birthYear>,<http://dbpedia.org/ontology/debutTeam>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/birthPlace>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/elements/1.1/description>,<http://xmlns.com/foaf/0.1/surname>,<http://dbpedia.org/ontology/team>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/BaseballPlayer>,,,,,,,,,X,,X,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Arkansas_Razorbacks_baseball_players>,,,,,,,,,X,,X,,X,,
"<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Tulsa,_Oklahoma>",,,,,,,,,X,X,,,,,
"<http://purl.org/dc/elements/1.1/description>:-:""American baseball player""",,,,,,,,,X,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Person>,,,,,,,,,,,X,,,,
"<http://xmlns.com/foaf/0.1/surname>:-:""Keuchel""@en",X,,,X,,X,,,,,,X,,X,
<http://dbpedia.org/ontology/debutTeam>:-:<http://dbpedia.org/resource/Houston_Astros>,,,,,,,,X,X,,,,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Tri-City_ValleyCats_players>,,,,,,,,,X,,X,,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""Keuchel, Dallas""@en",X,,,X,X,X,,,,,,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Person>,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:American_League_All-Stars>,,,,,,,,,X,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Lancaster_JetHawks_players>,,,,,,,,,X,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,,,,,,,,,X,,,,
"<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Sportspeople_from_Tulsa,_Oklahoma>",,,,,,,,,X,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Living_people>,X,,,,,X,,,X,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1988_births>,,,,,,,X,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Athlete>,,,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/birthYear>:-:""1988""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,,,X,,X,,,,,,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Dallas_Keuchel_signing_autographs_in_Jan_2015.jpg?width=300>,X,,,X,X,X,,,,,,X,,X,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Dallas_Keuchel_signing_autographs_in_Jan_2015.jpg>,X,,,X,X,X,,,,,,X,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Houston_Astros_players>,,,,,,,,X,X,,X,,X,,X
"<http://purl.org/dc/elements/1.1/description>:-:""American baseball player""@en",,,,,,,,,X,,X,,X,,
"<http://xmlns.com/foaf/0.1/givenName>:-:""Dallas""@en",X,,,X,X,X,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Salt_River_Rafters_players>,,,,,,,,,X,,X,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Major_League_Baseball_pitchers>,,,X,,,,,,X,,X,,X,,
<http://dbpedia.org/ontology/position>:-:<http://dbpedia.org/resource/Starting_pitcher>,X,,X,,,X,,,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Gold_Glove_Award_winners>,X,,,,,X,,,X,,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Dallas Keuchel""@en",X,,,X,X,X,,,,,,X,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Corpus_Christi_Hooks_players>,,,,,,,,,X,,X,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Oklahoma_City_RedHawks_players>,,,,,,,,,X,X,X,,X,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Dallas Keuchel""@en",X,,,X,X,X,,,,,,X,,X,
"<http://dbpedia.org/ontology/birthDate>:-:""1988-01-01""^^<http://www.w3.org/2001/XMLSchema#date>",,X,,,,,X,,X,,,,,,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/Houston_Astros>,,,,,,,,X,X,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q215627>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q10871364>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Agent>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,X,,,,,X,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q5>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent>,,,,,,,,,,,X,,,,
