,<http://dbpedia.org/ontology/title>,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/deathYear>,<http://dbpedia.org/ontology/deathPlace>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/deathDate>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/activeYearsStartYear>,<http://dbpedia.org/ontology/predecessor>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/parent>,<http://dbpedia.org/ontology/successor>,<http://purl.org/dc/elements/1.1/description>,<http://dbpedia.org/ontology/activeYearsEndYear>,<http://xmlns.com/foaf/0.1/depiction>
"<http://dbpedia.org/ontology/activeYearsStartYear>:-:""0813""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,,,,X,,,X,,,,,
<http://dbpedia.org/ontology/predecessor>:-:<http://dbpedia.org/resource/Bagrat_I_of_Iberia>,X,,,,X,,X,,X,X,X,X,X,X,,
"<http://dbpedia.org/ontology/deathYear>:-:""0830""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,X,,,X,X,,,,X,,,,X,
"<http://purl.org/dc/elements/1.1/description>:-:""Prince of Iberia""@en",X,,,,X,,X,,X,X,X,X,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Bagrationi_dynasty_of_Tao-Klarjeti>,X,,,,X,,X,,X,X,X,X,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Saints_of_Georgia_(country)>,X,,,,X,,X,,X,X,X,X,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:830_deaths>,,,,,X,,X,,X,,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Communicator109610660>,,,,,X,,,,X,X,X,X,X,,,
"<http://dbpedia.org/ontology/activeYearsEndYear>:-:""0830""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,X,,,X,X,,,,X,,,,X,
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Nigali_valley>,,,,X,X,,,,X,,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson>,,,,,X,,,,X,X,X,X,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Ashot I""@en",,,,,X,,,,X,,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Ruler110541229>,,,,,X,,,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Martyr110296618>,,,,,X,,,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Representative110522035>,,,,,X,,,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Victim110752093>,,,,,X,,,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,X,,,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,X,,,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/ChristianSaintsKilledByMuslims>,,,,,X,,X,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActor>,,,,,X,,,,X,X,X,X,X,,,
<http://dbpedia.org/ontology/successor>:-:<http://dbpedia.org/resource/Guaram_Mampali>,,,,,X,,,,X,,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/MonarchsOfGeorgia(country)>,X,,,,X,,X,,X,X,X,X,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Saint110546850>,,,,,X,,X,,X,X,X,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Vassal_rulers_of_the_Abbasid_Caliphate>,X,,,,X,,X,,X,X,X,X,X,X,,
<http://dbpedia.org/ontology/successor>:-:<http://dbpedia.org/resource/Adarnase_II_of_Tao-Klarjeti>,X,,,,X,,X,,X,X,X,X,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/9th-centuryChristianSaints>,,,,,X,,X,,X,X,X,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:9th-century_monarchs_in_Asia>,,,,,X,,X,,X,X,X,X,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Ashot I of Iberia""@en",X,,,,X,,X,,X,X,X,X,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:9th-century_Christian_martyrs>,,,,,X,,X,,X,X,X,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Monarchs_of_Georgia_(country)>,X,,,,X,,X,,X,X,X,X,X,X,,
"<http://purl.org/dc/elements/1.1/description>:-:""Prince of Iberia""",X,,,,X,,X,,X,X,X,X,X,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""Ashot 01 Of Iberia""@en",X,,,,X,,X,,X,X,X,X,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Person>,,,,,X,,,,X,X,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Sovereign110628644>,,,,,X,,,,X,X,X,X,X,,,
