,<http://dbpedia.org/ontology/height>,<http://dbpedia.org/ontology/college>,<http://dbpedia.org/ontology/alias>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/birthDate>,<http://xmlns.com/foaf/0.1/givenName>,<http://dbpedia.org/ontology/birthYear>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/elements/1.1/description>,<http://xmlns.com/foaf/0.1/surname>
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Cindy Mackey""@en",,,X,X,,X,,X,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Person100007846>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/GolfersFromGeorgia(U.S.State)>,,X,,,,,,X,X,,X,
"<http://xmlns.com/foaf/0.1/surname>:-:""Mackey""@en",,,,X,,,,X,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Person>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Person>,,,,,,,,X,X,,,
"<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Sportspeople_from_Athens,_Georgia>",,X,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,,,,,,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Golfers_from_Georgia_(U.S._state)>,,X,,,,,,X,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActor>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Player110439851>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Athlete>,,,,,,,,X,X,,,
"<http://dbpedia.org/ontology/alias>:-:""Pleger, Cindy""@en",,,X,X,,X,,X,X,X,,
<http://dbpedia.org/ontology/college>:-:<http://dbpedia.org/resource/University_of_Georgia>,,X,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/GeorgiaBulldogsWomen'sGolfers>,,X,,,,,,X,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/AmericanFemaleGolfers>,,,,,,,,X,X,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:American_female_golfers>,,,,,,,,X,X,,X,
"<http://purl.org/dc/elements/1.1/description>:-:""Professional golfer""",,X,,,,,,X,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Contestant109613191>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/GolfPlayer>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Golfer110136959>,,,,,,,,X,X,,X,
"<http://dbpedia.org/ontology/birthDate>:-:""1961-04-02""^^<http://www.w3.org/2001/XMLSchema#date>",,,,,X,,X,X,X,,,
"<http://dbpedia.org/ontology/birthYear>:-:""1961""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,,,X,X,X,,,
