,<http://dbpedia.org/ontology/height>,<http://xmlns.com/foaf/0.1/surname>,<http://dbpedia.org/ontology/team>,<http://dbpedia.org/ontology/birthDate>,<http://dbpedia.org/ontology/position>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://xmlns.com/foaf/0.1/givenName>,<http://dbpedia.org/ontology/birthYear>,<http://dbpedia.org/ontology/careerStation>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/birthPlace>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/elements/1.1/description>,<http://dbpedia.org/ontology/number>
<http://dbpedia.org/ontology/careerStation>:-:<http://dbpedia.org/resource/Fabrice_Gautrat__3>,,X,X,,,X,X,,X,X,,,X,,
<http://dbpedia.org/ontology/careerStation>:-:<http://dbpedia.org/resource/Fabrice_Gautrat__5>,,X,X,,,X,X,,X,X,,,X,,X
"<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Culver_City,_California>",,,X,,,,,,,X,X,,,,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/San_Diego_Toreros>,,,X,,,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:American_expatriate_soccer_players>,,,X,,,,,,,X,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,X,,,,,,X,X,,X,,,
"<http://dbpedia.org/ontology/number>:-:""5""",,,,,,,,,X,,,,,,X
<http://dbpedia.org/ontology/position>:-:<http://dbpedia.org/resource/Defender_(association_football)>,,,X,,X,,,,,X,,,,,
<http://dbpedia.org/ontology/careerStation>:-:<http://dbpedia.org/resource/Fabrice_Gautrat__1>,,X,X,,,X,X,,X,X,,,X,,
"<http://xmlns.com/foaf/0.1/givenName>:-:""Fabrice""@en",,,X,,,X,X,,X,X,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Southern_California_Seahorses_players>,,,X,,,,,,,X,X,X,,,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/The_Master's_College>,,,X,,,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:North_American_Soccer_League_players>,,,X,,,,,,,X,,X,,,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/Southern_California_Seahorses>,,,X,,,,,,,X,X,,,,
"<http://dbpedia.org/ontology/birthDate>:-:""1987-11-04""^^<http://www.w3.org/2001/XMLSchema#date>",,,X,X,,,,X,X,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Orange_County_Blues_FC_players>,,,X,,,,,,,X,,X,,,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/Atlanta_Silverbacks>,,,X,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Athlete>,,,,,,,,,,,,X,,,
"<http://purl.org/dc/elements/1.1/description>:-:""Footballer""",,,X,,,,,,,X,,,,X,
"<http://dbpedia.org/ontology/birthYear>:-:""1987""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,X,,,,,X,X,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1987_births>,,,X,,,,,X,X,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:American_soccer_players>,,,X,,,,,,,X,,X,,,
<http://dbpedia.org/ontology/careerStation>:-:<http://dbpedia.org/resource/Fabrice_Gautrat__4>,,X,X,,,X,X,,X,X,,,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""Gautrat, Fabrice""@en",,X,X,,,X,X,,X,X,,,X,,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/Orange_County_Blues_FC>,,,X,,,,,,,X,,,,,
<http://dbpedia.org/ontology/careerStation>:-:<http://dbpedia.org/resource/Fabrice_Gautrat__6>,,X,X,,,X,X,,X,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Person>,,,X,,,,,,,X,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:United_Soccer_League_players>,,,X,,,,,,,X,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson>,,,X,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SoccerPlayer>,,,X,,,,,,,X,,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Fabrice Gautrat""@en",,X,X,,,X,X,,X,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Person>,,,,,,,,,,,,X,,,
