,<http://dbpedia.org/ontology/nationality>,<http://dbpedia.org/ontology/influencedBy>,<http://dbpedia.org/ontology/birthDate>,<http://dbpedia.org/ontology/genre>,<http://dbpedia.org/ontology/notableWork>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://xmlns.com/foaf/0.1/givenName>,<http://dbpedia.org/ontology/birthPlace>,<http://xmlns.com/foaf/0.1/homepage>,<http://dbpedia.org/ontology/birthYear>,<http://dbpedia.org/ontology/language>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/activeYearsStartYear>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/author>,<http://purl.org/dc/elements/1.1/description>,<http://xmlns.com/foaf/0.1/surname>,<http://dbpedia.org/ontology/award>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,,,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Living_people>,X,,,,,,,,,,X,X,,X,,,,,
<http://dbpedia.org/ontology/influencedBy>:-:<http://dbpedia.org/resource/Ellery_Queen>,,X,,,,,,,,,,,,,,,,,
"<http://xmlns.com/foaf/0.1/givenName>:-:""Hiroshi""@en",,,,,,X,X,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Nagoya_University_faculty>,,,,,X,,,,,,,X,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActor>,,,,,X,,,,,,,,,X,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/JapaneseMysteryWriters>,X,,,X,,,,X,,,X,X,,X,,,X,,
<http://dbpedia.org/ontology/nationality>:-:<http://dbpedia.org/resource/Japanese_people>,X,,,,,,,X,,,X,X,,X,,,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""Mori, Hiroshi""@en",,,,,,X,X,,,,,,,,X,,,X,
<http://dbpedia.org/ontology/notableWork>:-:<http://dbpedia.org/resource/The_Sky_Crawlers>,,,,,X,,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/JapaneseNovelists>,X,,,,,,,X,,,X,X,,X,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:People_from_Aichi_Prefecture>,X,,,,X,,,X,,,X,X,,X,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingPeople>,X,,,,,,,,,,X,X,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,,,X,,,,,,,,,X,,X,,,
"<http://dbpedia.org/ontology/activeYearsStartYear>:-:""1996""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,,,,,,,,,X,,,,,,
<http://xmlns.com/foaf/0.1/homepage>:-:<http://www001.upp.so-net.ne.jp/mori/index.html>,,,,,,X,,,X,,,,,,X,,,X,
<http://dbpedia.org/ontology/author>:-:<http://dbpedia.org/resource/Subete_ga_F_ni_Naru>,,,,,X,,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson>,,,,,,,,,,,,,,X,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Hiroshi Mori""@en",,,,,,X,X,,,,,,,,X,,,X,
"<http://dbpedia.org/ontology/birthDate>:-:""1957-12-07""^^<http://www.w3.org/2001/XMLSchema#date>",,,X,,,,,,,X,,X,,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Hiroshi Mori (writer)""@en",,,,,,X,X,,,,,,,X,X,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,,,,,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Japanese_mystery_writers>,X,,,X,,,,X,,,X,X,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Person100007846>,,,,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PeopleFromAichiPrefecture>,X,,,,X,,,X,,,X,X,,X,,X,,,
<http://dbpedia.org/ontology/award>:-:<http://dbpedia.org/resource/Mephisto_Prize>,,,,,,,,,,,,,,,,,,,X
<http://dbpedia.org/ontology/notableWork>:-:<http://dbpedia.org/resource/Subete_ga_F_ni_Naru>,,,,,X,,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Science_fiction>,,,,X,X,,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Aichi_Prefecture>,,,,,X,,,X,,,,X,,X,,X,,,
"<http://dbpedia.org/ontology/birthYear>:-:""1957""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,,,,,,X,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Nagoya_University_alumni>,,,,,X,,,,,,,X,,,,X,,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Japan>,,,,,,,,X,,,,,,,,,,,
"<http://xmlns.com/foaf/0.1/surname>:-:""Mori""@en",,,,,,X,,,,,,,,,X,,,X,
<http://dbpedia.org/ontology/genre>:-:<http://dbpedia.org/resource/Mystery_fiction>,,,,X,X,,,,,,,X,,X,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Novelist110363573>,,,,,,,,,,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Japanese_novelists>,X,,,,,,,X,,,X,X,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,X,,,,,,,,,X,,X,,,
"<http://purl.org/dc/elements/1.1/description>:-:""Japanese writer""@en",X,,,,,,,X,,,X,X,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Writer110794014>,,,,,,,,,,,,,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Person>,,,,,,,,,,,,,,X,,,,,
<http://dbpedia.org/ontology/language>:-:<http://dbpedia.org/resource/Japanese_people>,X,,,,,,,X,,,X,X,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Person>,,,,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Writer>,,,,,,,,,,,,,,X,,,X,,
"<http://purl.org/dc/elements/1.1/description>:-:""Japanese writer""",X,,,,,,,X,,,X,X,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Communicator109610660>,,,,,X,,,,,,,,,X,,X,,,
<http://dbpedia.org/ontology/author>:-:<http://dbpedia.org/resource/The_Sky_Crawlers>,,,,,X,,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Organism100004475>,,,,,X,,,,,,,,,X,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1957_births>,,,,,,,,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent>,,,,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q5>,,,,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/CausalAgent100007347>,,,,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q36180>,,,,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingThing100004258>,,,,,,,,,,,,X,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Agent>,,,,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q215627>,,,,,,,,,,,,,,X,,,,,
