,<http://dbpedia.org/ontology/deathPlace>,<http://dbpedia.org/ontology/deathYear>,<http://dbpedia.org/ontology/notableCommander>,<http://dbpedia.org/ontology/commander>,<http://dbpedia.org/ontology/birthDate>,<http://xmlns.com/foaf/0.1/givenName>,<http://dbpedia.org/ontology/deathDate>,<http://dbpedia.org/ontology/birthYear>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/birthPlace>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/elements/1.1/description>,<http://xmlns.com/foaf/0.1/surname>,<http://www.w3.org/2000/01/rdf-schema#label>
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1985_deaths>,,X,,,,,,,X,,,,,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Kirkuk_Governorate>,X,,,,,,,,X,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Person>,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Kurdish_military_personnel_killed_in_action>,,,,,,,,,X,,X,,X,,
"<http://dbpedia.org/ontology/birthYear>:-:""1957""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,,,,X,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Person>,,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Ba'athist_Iraq>,X,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson>,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:People_from_Kirkuk_Province>,X,,,,,,,,X,X,X,,,,
"<http://xmlns.com/foaf/0.1/givenName>:-:""Najmadin Shukr""@en",,,,,,X,,,X,,,X,,,X
"<http://xmlns.com/foaf/0.1/surname>:-:""Rauf""@en",,,,,,,,,,,,X,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Kurdish_nationalists>,,,,,,,,,X,,X,,X,,
"<http://dbpedia.org/ontology/deathDate>:-:""1985-01-24""^^<http://www.w3.org/2001/XMLSchema#date>",,X,,,,,X,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActor>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/KurdishGuerrillas>,,,,,,,,,X,,X,,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""Rauf, Najmadin Shukr""@en",,,,,,X,,,X,,,X,,X,X
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Kirkuk_Governorate>,X,,,,,,,,X,X,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Iraqi_Kurdish_people>,X,,,,,,,,X,X,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PeopleFromKirkukProvince>,X,,,,,,,,X,X,X,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Najmadin Shukr Rauf""@en",,,,,,X,,,X,,,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Warrior110768585>,,,,,,,,,,,X,,,,
"<http://purl.org/dc/elements/1.1/description>:-:""Kurdish guerilla""@en",,,,,,,,,X,,X,,X,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Kingdom_of_Iraq>,X,,,,,,,,X,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1957_births>,,,,,,,,X,X,,,,,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Talaban_village>,,,,,,,,,,X,,,,,
<http://dbpedia.org/ontology/commander>:-:<http://dbpedia.org/resource/Iraqi–Kurdish_conflict>,X,,,X,,,,,X,X,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Organism100004475>,,,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/birthDate>:-:""1957-01-01""^^<http://www.w3.org/2001/XMLSchema#date>",,,,,X,,,X,X,,,,,,
<http://dbpedia.org/ontology/notableCommander>:-:<http://dbpedia.org/resource/Peshmerga>,,,X,,,,,,,,,,,,
"<http://purl.org/dc/elements/1.1/description>:-:""Kurdish guerilla""",,,,,,,,,X,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Person100007846>,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Kurdish_guerrillas>,,,,,,,,,X,,X,,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""Najmadin Shukr Rauf""@en",,,,,,X,,,X,,,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/IraqiKurdishPeople>,X,,,,,,,,X,X,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Guerrilla110150556>,,,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/deathYear>:-:""1985""^^<http://www.w3.org/2001/XMLSchema#gYear>",,X,,,,,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q215627>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q5>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingThing100004258>,,,,,,,,,X,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,X,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/CausalAgent100007347>,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Agent>,,,,,,,,,,,X,,,,
