,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/birthName>,<http://dbpedia.org/ontology/birthDate>,<http://xmlns.com/foaf/0.1/givenName>,<http://dbpedia.org/ontology/birthYear>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/birthPlace>,<http://dbpedia.org/ontology/imdbId>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/elements/1.1/description>,<http://xmlns.com/foaf/0.1/surname>,<http://dbpedia.org/ontology/occupation>
"<http://purl.org/dc/elements/1.1/description>:-:""Television personality""",,,,,,X,X,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,X,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,,X,,,,,,,
"<http://xmlns.com/foaf/0.1/givenName>:-:""Storme""@en",X,X,,X,,,,,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingPeople>,,,,,,X,X,,,,,,
"<http://dbpedia.org/ontology/birthYear>:-:""1970""^^<http://www.w3.org/2001/XMLSchema#gYear>",,,,,X,,X,,,,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Living_people>,,,,,,X,X,,,,,,
"<http://xmlns.com/foaf/0.1/surname>:-:""Warren""@en",X,X,,,,,,,,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Person100007846>,,,,,,X,,,,,,,X
"<http://xmlns.com/foaf/0.1/name>:-:""Warren, Storme""@en",X,X,,X,,,,,,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson>,,,,,,X,,,,,,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Ohio>,,,,,,,,X,,,,,
"<http://dbpedia.org/ontology/birthDate>:-:""1970-03-03""^^<http://www.w3.org/2001/XMLSchema#date>",,,X,,X,,X,,,,,,X
"<http://dbpedia.org/ontology/imdbId>:-:""2153141""",,,,,,,,,X,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Whole100003553>,,,,,,X,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActor>,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Person>,,,,,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1970_births>,,,,,X,,X,,,,,,X
"<http://dbpedia.org/ontology/birthName>:-:""Storme Warren""@en",X,X,,X,,,,,,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Person>,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,,,,X,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Organism100004475>,,,,,,X,,,,,,,X
"<http://xmlns.com/foaf/0.1/name>:-:""Storme Warren""@en",X,X,,X,,,,,,X,,X,X
"<http://purl.org/dc/elements/1.1/description>:-:""Television personality""@en",,,,,,X,X,,,,X,,
<http://dbpedia.org/ontology/occupation>:-:<http://dbpedia.org/resource/Broadcaster/Host>,,,,,,,,,,,,,X
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Cincinnati>,,,,,,,,X,,,,,
<http://dbpedia.org/ontology/occupation>:-:<http://dbpedia.org/resource/Storme_Warren__1>,X,X,,X,,,,,,X,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:American_television_personalities>,,,,,,X,X,,,,X,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/United_States>,,,,,,,,X,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Storme Warren""@en",X,X,,X,,,,,,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,X,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/CausalAgent100007347>,,,,,,X,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Agent>,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent>,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q5>,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/LivingThing100004258>,,,,,,X,X,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q215627>,,,,,,X,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,X,,,,,,,
