,<http://dbpedia.org/ontology/height>,<http://dbpedia.org/ontology/careerStation>,<http://dbpedia.org/ontology/team>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/position>,<http://dbpedia.org/ontology/birthDate>,<http://xmlns.com/foaf/0.1/givenName>,<http://dbpedia.org/ontology/birthYear>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/elements/1.1/description>,<http://xmlns.com/foaf/0.1/surname>
"<http://xmlns.com/foaf/0.1/givenName>:-:""Svyatoslav""@en",,X,,X,,,X,,,,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""Svyatoslav Sergeyevich Tanasov""@en",,X,X,X,,,X,,X,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/FootballPlayer110101634>,,,X,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/RussianFootballers>,,,X,,,,,,X,X,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:FC_Taganrog_players>,,,X,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,X,,,,,,X,X,,,
"<http://dbpedia.org/ontology/height>:-:""1.78""^^<http://www.w3.org/2001/XMLSchema#double>",X,X,X,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Athlete109820263>,,X,X,,,,,,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Russian_footballers>,,,X,,,,,,X,X,,X,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/FC_Taganrog>,,,X,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Athlete>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,X,X,,,,,,X,X,,,
