,<http://dbpedia.org/ontology/fastestDriverTeam>,<http://dbpedia.org/ontology/distanceLaps>,<http://dbpedia.org/ontology/distance>,<http://dbpedia.org/ontology/firstDriver>,<http://dbpedia.org/ontology/poleDriver>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/location>,<http://dbpedia.org/ontology/secondTeam>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/secondDriver>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/thirdTeam>,<http://dbpedia.org/ontology/firstDriverTeam>,<http://dbpedia.org/ontology/poleDriverTeam>,<http://dbpedia.org/ontology/thirdDriver>,<http://dbpedia.org/ontology/fastestDriver>,<http://dbpedia.org/ontology/course>
<http://dbpedia.org/ontology/poleDriverTeam>:-:<http://dbpedia.org/resource/Cooper_Car_Company>,X,,,,,,,X,,,,,X,,X,,,
"<http://dbpedia.org/ontology/distance>:-:""162200.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,X,,,,,,,,,,,,,,,
<http://dbpedia.org/ontology/location>:-:<http://dbpedia.org/resource/Goodwood_Circuit>,,,,,,,X,,,,,,,,,,,
<http://dbpedia.org/ontology/firstDriverTeam>:-:<http://dbpedia.org/resource/Team_Lotus>,,,,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Glover_Trophy>,,,,,,X,,,X,,,X,,,,,,
<http://dbpedia.org/ontology/thirdDriver>:-:<http://dbpedia.org/resource/Chris_Bristow>,,,,,X,,,,,,,,,,,X,,
<http://dbpedia.org/ontology/secondTeam>:-:<http://dbpedia.org/resource/Cooper_Car_Company>,X,,,,,,,X,,,,,X,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SocietalEvent>,,,,,,,,,,,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1960_Formula_One_races>,,,,,,X,,,X,,,,,,,,,
<http://dbpedia.org/ontology/fastestDriver>:-:<http://dbpedia.org/resource/Stirling_Moss>,,,,,,,,,X,X,,,,,,,X,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""1960 Glover Trophy""@en",,,,,,X,,,X,,,X,,,,,,
<http://dbpedia.org/ontology/poleDriver>:-:<http://dbpedia.org/resource/Chris_Bristow>,,,,,X,,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SportsEvent>,,,,,,,,,,,X,,,,,,,
<http://dbpedia.org/ontology/secondDriver>:-:<http://dbpedia.org/resource/Stirling_Moss>,,,,,,,,,X,X,,,,,,,X,
"<http://dbpedia.org/ontology/distance>:-:""162221.8752""^^<http://www.w3.org/2001/XMLSchema#double>",,,X,,,,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Event>,,,,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/SportsEvent>,,,,,,,,,,,X,,,,,,,
"<http://dbpedia.org/ontology/course>:-:""3862.4256""^^<http://www.w3.org/2001/XMLSchema#double>",,X,,,,,,,,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Event>,,,,,,,,,,,X,,,,,,,
"<http://dbpedia.org/ontology/distanceLaps>:-:""42""^^<http://www.w3.org/2001/XMLSchema#nonNegativeInteger>",,X,,,,,,,X,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event>,,,,,,,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/GrandPrix>,,,,,,,,,,,X,,,,,,,
<http://dbpedia.org/ontology/thirdTeam>:-:<http://dbpedia.org/resource/Cooper_Car_Company>,X,,,,,,,X,,,,,X,,X,,,
<http://dbpedia.org/ontology/location>:-:<http://dbpedia.org/resource/West_Sussex>,,,,,,,X,,X,,,,,,,,,
"<http://dbpedia.org/ontology/course>:-:""3862.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,,,,,,,,,X
<http://dbpedia.org/ontology/firstDriver>:-:<http://dbpedia.org/resource/Innes_Ireland>,,,,X,,,,,X,,,,,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""VIIIGlover Trophy""@en",,,,,,X,,,X,,,X,,,,,,
<http://dbpedia.org/ontology/fastestDriverTeam>:-:<http://dbpedia.org/resource/Cooper_Car_Company>,X,,,,,,,X,,,,,X,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:20th_century_in_West_Sussex>,,,,,,,X,,X,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,X,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q1656682>,,,,,,,,,,,X,,,,,,,
