,<http://dbpedia.org/ontology/distanceLaps>,<http://dbpedia.org/ontology/firstDriver>,<http://dbpedia.org/ontology/country>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/fastestDriver>,<http://dbpedia.org/ontology/thirdTeam>,<http://dbpedia.org/ontology/distance>,<http://dbpedia.org/ontology/poleDriver>,<http://dbpedia.org/ontology/location>,<http://dbpedia.org/ontology/poleDriverTeam>,<http://dbpedia.org/ontology/thumbnail>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/course>,<http://dbpedia.org/ontology/fastestDriverTeam>,<http://dbpedia.org/ontology/secondDriver>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://dbpedia.org/ontology/firstDriverTeam>,<http://dbpedia.org/ontology/secondTeam>,<http://dbpedia.org/ontology/thirdDriver>,<http://dbpedia.org/ontology/lastRace>,<http://xmlns.com/foaf/0.1/depiction>
<http://dbpedia.org/ontology/location>:-:<http://dbpedia.org/resource/Italy>,,,X,,,,,,X,,,,,,,,,,,,,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Monza_1957.jpg?width=300>,,,,,,,,,X,,X,,,,,,,,,,,X
<http://dbpedia.org/ontology/country>:-:<http://dbpedia.org/resource/Italy>,,,X,,,,,,X,,,,,,,,,,,,,
<http://dbpedia.org/ontology/firstDriverTeam>:-:<http://dbpedia.org/resource/Honda_in_Formula_One>,,,,X,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SocietalEvent>,,,,,,,,,,,,,,,,,X,,,,,
<http://dbpedia.org/ontology/thirdTeam>:-:<http://dbpedia.org/resource/Team_Lotus>,,,,,,X,,,,X,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SportsEvent>,,,,,,,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event>,,,,,,,,,,,,,,,,,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Italian_Grand_Prix>,,,,X,,,,,,,,X,X,,,,X,,,,,
<http://dbpedia.org/ontology/secondDriver>:-:<http://dbpedia.org/resource/Jack_Brabham>,,,,,,,,,,,,,,,,X,,,X,,,
<http://dbpedia.org/ontology/poleDriverTeam>:-:<http://dbpedia.org/resource/Team_Lotus>,,,,,,X,,,,X,,,,,X,,,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""XXXII Gran Premio d'Italia""@en",,,,,,,,,,,,,X,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Event>,,,,,,,,,,,,,,,,,X,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""1967 Italian Grand Prix""@en",,,,X,,,,,,,,X,X,,,,X,,,,,
<http://dbpedia.org/ontology/location>:-:<http://dbpedia.org/resource/Autodromo_Nazionale_Monza>,,,,,,,,,X,,X,,,,,,,,,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:European_Grand_Prix>,,,,X,,,,,,,,X,X,,,,X,,,,,
<http://dbpedia.org/ontology/thirdDriver>:-:<http://dbpedia.org/resource/Jim_Clark>,,,,,X,,,X,,,,,,,,,,,,X,,
"<http://dbpedia.org/ontology/distance>:-:""391006.21824""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,X,,,,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/GrandPrix>,,,,X,,,,,,,,X,X,,,,X,,,,,
<http://dbpedia.org/ontology/lastRace>:-:<http://dbpedia.org/resource/Giancarlo_Baghetti>,,,,,,,,,,,,,,,,,,,,,X,
<http://dbpedia.org/ontology/secondTeam>:-:<http://dbpedia.org/resource/Brabham>,,,,,,,,,,,,,,,,X,,,X,,,
"<http://dbpedia.org/ontology/course>:-:""5750.186112""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,,,,,X,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Event>,,,,,,,,,,,,,,,,,X,,,,,
"<http://dbpedia.org/ontology/distanceLaps>:-:""68""^^<http://www.w3.org/2001/XMLSchema#nonNegativeInteger>",X,,,X,,,,,,,,,,,,,,X,,,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Monza_1957.jpg>,,,,,,,,,X,,X,,,,,,,,,,,X
"<http://dbpedia.org/ontology/course>:-:""5750.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,,,,,X,,,,,,,,
<http://dbpedia.org/ontology/fastestDriver>:-:<http://dbpedia.org/resource/Jim_Clark>,,,,,X,,,X,,,,,,,,,,,,X,,
"<http://dbpedia.org/ontology/distance>:-:""391006.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,X,,,,,,,,,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1967_in_Italian_motorsport>,,,,X,,,,,,,,X,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/SportsEvent>,,,,,,,,,,,,,,,,,X,,,,,
<http://dbpedia.org/ontology/firstDriver>:-:<http://dbpedia.org/resource/John_Surtees>,,X,,,,,,,,,,,,,,,,,,,,
<http://dbpedia.org/ontology/poleDriver>:-:<http://dbpedia.org/resource/Jim_Clark>,,,,,X,,,X,,,,,,,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1967_Formula_One_races>,,,,X,,,,,,,,X,,,,,,X,,,,
<http://dbpedia.org/ontology/location>:-:<http://dbpedia.org/resource/Monza>,,,,,,,,,X,,X,,,,,,,,,,,X
<http://dbpedia.org/ontology/fastestDriverTeam>:-:<http://dbpedia.org/resource/Team_Lotus>,,,,,,X,,,,X,,,,,X,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q1656682>,X,,,,,,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,X,,,,,,,,,,,,,X,X,,,,
