,<http://www.w3.org/2000/01/rdf-schema#label>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/time>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Tournament>,,,,X
"<http://dbpedia.org/ontology/time>:-:""21:30""",,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Event>,,,,X
"<http://dbpedia.org/ontology/time>:-:""21:50""",,,X,
"<http://dbpedia.org/ontology/time>:-:""18:00""",,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:2008_in_futsal>,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SportsEvent>,,,,X
"<http://dbpedia.org/ontology/time>:-:""20:10""",,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SoccerTournament>,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/SportsEvent>,,,,X
"<http://dbpedia.org/ontology/time>:-:""18:30""",,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SocietalEvent>,,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:2007–08_in_Uruguayan_football>,X,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Copa_América_de_Futsal>,X,X,,
"<http://dbpedia.org/ontology/time>:-:""16:45""",,,X,
"<http://dbpedia.org/ontology/time>:-:""19:00""",,,X,
"<http://dbpedia.org/ontology/time>:-:""20:30""",,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event>,,X,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:International_association_football_competitions_hosted_by_Uruguay>,,X,,
"<http://dbpedia.org/ontology/time>:-:""22:00""",,,X,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""2008 Copa América – FIFA Futsal""@en",X,X,,
"<http://dbpedia.org/ontology/time>:-:""18:35""",,,X,
"<http://dbpedia.org/ontology/time>:-:""17:00""",,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Event>,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q500834>,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q1656682>,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,X,,X
