,<http://dbpedia.org/ontology/followingEvent>,<http://dbpedia.org/ontology/team>,<http://dbpedia.org/ontology/date>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/location>,<http://www.w3.org/2000/01/rdf-schema#seeAlso>,<http://dbpedia.org/ontology/city>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/previousEvent>,<http://dbpedia.org/ontology/time>
<http://dbpedia.org/ontology/followingEvent>:-:<http://dbpedia.org/resource/2007_Copa_del_Rey_Final>,X,X,,X,,X,,X,,X,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Getafe_CF_matches>,,X,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event>,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Event>,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/FootballMatch>,,X,,,,,,X,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""2008 Copa del Rey Final""@en",X,X,,X,,X,,X,,X,X,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/Valencia_CF>,,X,,,,,,X,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""2008 Copa del Rey Final""@en",X,X,,X,,X,,X,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Event>,,X,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SocietalEvent>,,X,,,,,,X,X,,,
<http://dbpedia.org/ontology/previousEvent>:-:<http://dbpedia.org/resource/2009_Copa_del_Rey_Final>,X,X,,X,,X,,X,,X,X,
<http://www.w3.org/2000/01/rdf-schema#seeAlso>:-:<http://dbpedia.org/resource/2007–08_Copa_del_Rey>,X,X,,X,,X,,X,,X,X,
<http://dbpedia.org/ontology/previousEvent>:-:<http://dbpedia.org/resource/2007_Copa_del_Rey_Final>,X,X,,X,,X,,X,,X,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Copa_del_Rey_Finals>,X,X,,X,,X,,X,,X,X,
<http://dbpedia.org/ontology/location>:-:<http://dbpedia.org/resource/Vicente_Calderón_Stadium>,,X,,,X,,,X,,,,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/Getafe_CF>,,X,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:2007–08_in_Spanish_football_cups>,X,X,,,,X,,X,X,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/SportsEvent>,,X,,,,,,X,X,,,
<http://dbpedia.org/ontology/city>:-:<http://dbpedia.org/resource/Madrid>,,X,,,,,X,X,,,,
"<http://dbpedia.org/ontology/time>:-:""22:00CEST""",,X,,,,,,X,,,,X
<http://dbpedia.org/ontology/followingEvent>:-:<http://dbpedia.org/resource/2009_Copa_del_Rey_Final>,X,X,,X,,X,,X,,X,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Valencia_CF_matches>,,X,,,,,,X,X,,,
"<http://dbpedia.org/ontology/date>:-:""2008-04-16""^^<http://www.w3.org/2001/XMLSchema#date>",,X,X,X,,,,X,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SportsEvent>,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q1656682>,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,X,X,,,
