,<http://dbpedia.org/ontology/followingEvent>,<http://dbpedia.org/ontology/team>,<http://dbpedia.org/ontology/date>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/location>,<http://dbpedia.org/ontology/city>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/previousEvent>,<http://dbpedia.org/ontology/time>
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:R.S.C._Anderlecht_matches>,,X,,,,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Event>,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Belgian_Supercup>,X,,,X,,,X,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SportsEvent>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SocietalEvent>,,,,,,,,X,,,
"<http://dbpedia.org/ontology/time>:-:""20:45CET""",,,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/FootballMatch>,,,,,,,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:2009–10_in_Belgian_football>,X,,,X,,,X,X,X,X,
<http://dbpedia.org/ontology/location>:-:<http://dbpedia.org/resource/Constant_Vanden_Stock_Stadium>,,,,,X,,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""2010 Belgian Super Cup""@en",X,,,X,,,X,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event>,,,,,,,,X,,,
"<http://dbpedia.org/ontology/date>:-:""2010-07-23""^^<http://www.w3.org/2001/XMLSchema#date>",,,X,X,,,,,X,,
<http://dbpedia.org/ontology/followingEvent>:-:<http://dbpedia.org/resource/2009_Belgian_Super_Cup>,X,,,X,,,X,,X,X,
<http://dbpedia.org/ontology/city>:-:<http://dbpedia.org/resource/Anderlecht>,,X,,,,X,X,,,,
<http://dbpedia.org/ontology/followingEvent>:-:<http://dbpedia.org/resource/2011_Belgian_Super_Cup>,X,,,X,,,X,,X,X,
<http://dbpedia.org/ontology/previousEvent>:-:<http://dbpedia.org/resource/2009_Belgian_Super_Cup>,X,,,X,,,X,,X,X,
<http://dbpedia.org/ontology/previousEvent>:-:<http://dbpedia.org/resource/2011_Belgian_Super_Cup>,X,,,X,,,X,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/SportsEvent>,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:K.A.A._Gent_matches>,,X,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Event>,,,,,,,,X,,,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/R.S.C._Anderlecht>,,X,,,,X,X,,,,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/K.A.A._Gent>,,X,,,,,X,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""2010 Belgian Super Cup""@en",X,,,X,,,X,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q1656682>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,X,X,,,
