,<http://dbpedia.org/ontology/combatant>,<http://dbpedia.org/ontology/result>,<http://dbpedia.org/ontology/strength>,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/date>,<http://dbpedia.org/ontology/commander>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/place>,<http://dbpedia.org/ontology/causalties>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/terms/subject>,<http://xmlns.com/foaf/0.1/depiction>
"<http://dbpedia.org/ontology/strength>:-:""20 large ships""",,,X,,,,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1503_in_India>,,,,,,,,X,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Event>,,,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Naval_battles_involving_Portugal>,,,,X,,,X,,,,X,X,X
"<http://dbpedia.org/ontology/combatant>:-:""Portuguese Empire""",X,,,,,,,,,,,,
"<http://dbpedia.org/ontology/strength>:-:""Hundreds of smaller ships""",,,X,,,,X,,,,X,X,
"<http://xmlns.com/foaf/0.1/name>:-:""Battle of Calicut""@en",X,,X,,,,X,,,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Event>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SocietalEvent>,,,,,,,,,,X,,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Flag_Portugal_(1495).svg>,,,,X,,,,,,,,X,X
"<http://dbpedia.org/ontology/strength>:-:""40 gun-mountedsambuks""",,,X,,,,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:History_of_Kozhikode>,,,X,,,,X,X,,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event>,,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/MilitaryConflict>,,,,,,,,,,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Battle of Calicut (1502)""@en",X,,X,,,,X,,,,X,X,
<http://dbpedia.org/ontology/place>:-:<http://dbpedia.org/resource/Kozhikode>,,,,,,,,X,,,,X,
"<http://dbpedia.org/ontology/strength>:-:""6 caravels""",,,X,,,,,,,,,,
<http://dbpedia.org/ontology/commander>:-:<http://dbpedia.org/resource/Vasco_da_Gama>,,,,,,X,,,,,,,
<http://dbpedia.org/ontology/place>:-:<http://dbpedia.org/resource/India>,,,,,,,,X,,,,X,
"<http://dbpedia.org/ontology/date>:-:""1502-01-06""^^<http://www.w3.org/2001/XMLSchema#date>",,,X,,X,X,,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Conflicts_in_1503>,,,,,,,,,,X,,X,
"<http://dbpedia.org/ontology/combatant>:-:""Arab privateers""",X,,,,,,,,,,,,
"<http://dbpedia.org/ontology/combatant>:-:""Calicut""",X,,,,,,X,,,,X,,
"<http://dbpedia.org/ontology/causalties>:-:""Low""",,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/result>:-:""Portuguesevictory""",X,X,,,,,,,,,,,
"<http://dbpedia.org/ontology/strength>:-:""10 carracks""",,,X,,,,,,,,,,
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Flag_Portugal_(1495).svg?width=300>,,,,X,,,,,,,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q1656682>,,,X,,,X,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,X,,,,,,,X,,X,
