,<http://dbpedia.org/ontology/combatant>,<http://dbpedia.org/ontology/isPartOfMilitaryConflict>,<http://dbpedia.org/ontology/result>,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/date>,<http://www.w3.org/2002/07/owl#differentFrom>,<http://dbpedia.org/ontology/commander>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/place>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://xmlns.com/foaf/0.1/depiction>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event>,,,,,,,,,,,X,,
<http://dbpedia.org/ontology/place>:-:<http://dbpedia.org/resource/Santa_Fe_Province>,,,,,,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Event>,,,,,,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Conflicts_in_1820>,,,,,,,,,,X,X,,
"<http://dbpedia.org/ontology/date>:-:""1820-02-01""^^<http://www.w3.org/2001/XMLSchema#date>",,,,,X,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/MilitaryConflict>,,,,,,,,,,,X,,
<http://www.w3.org/2002/07/owl#differentFrom>:-:<http://dbpedia.org/resource/Battle_of_Cepeda_(1859)>,,,,X,,X,,X,,X,,X,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:1820_in_Argentina>,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/commander>:-:<http://dbpedia.org/resource/José_Rondeau>,,,,,,,X,,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Battle of Cepeda""@en",,,,X,,X,,X,,X,,X,X
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Artigas.svg>,,,,X,,X,,X,,X,,X,X
<http://dbpedia.org/ontology/commander>:-:<http://dbpedia.org/resource/Francisco_Ramírez_(governor)>,,,,,,,X,,,,,,
"<http://dbpedia.org/ontology/combatant>:-:""24pxUnitarians""",X,,,,,,,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Battle of Cepeda (1820)""@en",,,,X,,X,,X,,X,,X,X
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Artigas.svg?width=300>,,,,X,,X,,X,,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SocietalEvent>,,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Event>,,,,,,,,,,,X,,
<http://dbpedia.org/ontology/isPartOfMilitaryConflict>:-:<http://dbpedia.org/resource/Argentine_Civil_Wars>,,X,,,,,,,,X,,,
"<http://dbpedia.org/ontology/combatant>:-:""24pxFederals""",X,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/result>:-:""Federalistvictory""",,,X,,,,,,X,,,,
<http://dbpedia.org/ontology/commander>:-:<http://dbpedia.org/resource/Estanislao_López>,,,,,,,X,,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Battles_of_the_Argentine_Civil_War>,,X,,X,,X,,X,,X,,X,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q1656682>,,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,,X,X,,
