,<http://www.w3.org/2003/01/geo/wgs84_pos#long>,<http://dbpedia.org/ontology/populationTotal>,<http://dbpedia.org/ontology/utcOffset>,<http://dbpedia.org/ontology/isPartOf>,<http://dbpedia.org/ontology/timeZone>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://www.georss.org/georss/point>,<http://dbpedia.org/ontology/country>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://www.w3.org/2003/01/geo/wgs84_pos#lat>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/PopulatedPlace>,,,,,,,,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PopulatedPlacesInAligudarzCounty>,,,,X,,,,,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/GeographicalArea108574314>,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Location>,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Settlement>,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Place>,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Site108651247>,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,,,,,,X,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Populated_places_in_Aligudarz_County>,,,,X,,,,,X,X,,
<http://dbpedia.org/ontology/timeZone>:-:<http://dbpedia.org/resource/Iran_Standard_Time>,,,,,X,,,X,,,,
"<http://www.w3.org/2003/01/geo/wgs84_pos#long>:-:""49.00111""^^<http://www.w3.org/2001/XMLSchema#float>",X,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity>,,,,,,,,,,X,,
"<http://www.w3.org/2003/01/geo/wgs84_pos#lat>:-:""33.269444""^^<http://www.w3.org/2001/XMLSchema#float>",,,,,,,,,,,,X
"<http://dbpedia.org/ontology/populationTotal>:-:""451""^^<http://www.w3.org/2001/XMLSchema#nonNegativeInteger>",,X,,,,,,,X,X,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Darreh Dang""@en",,,,,,X,,,,,X,
<http://dbpedia.org/ontology/isPartOf>:-:<http://dbpedia.org/resource/Zaz-e_Gharbi_Rural_District>,,,,X,,,,,,X,,
"<http://www.georss.org/georss/point>:-:""33.269444444444446 49.00111111111111""",X,,,,,,X,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Village>,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Location100027167>,,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Region108630985>,,,,,,,,,,X,,
