,<http://www.w3.org/2003/01/geo/wgs84_pos#long>,<http://dbpedia.org/ontology/isPartOf>,<http://dbpedia.org/ontology/timeZone>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://www.georss.org/georss/point>,<http://dbpedia.org/ontology/country>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/utcOffset>,<http://dbpedia.org/ontology/elevation>,<http://www.w3.org/2003/01/geo/wgs84_pos#lat>
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Jalalia, Khyber Pakhtunkhwa""@en",,X,,X,,,,X,X,,,
<http://dbpedia.org/ontology/isPartOf>:-:<http://dbpedia.org/resource/Khyber_Pakhtunkhwa>,,X,,X,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Region108630985>,,,,,,,,X,,,,
"<http://www.w3.org/2003/01/geo/wgs84_pos#long>:-:""73.06""^^<http://www.w3.org/2001/XMLSchema#float>",X,,,,X,,,,,,,
"<http://dbpedia.org/ontology/elevation>:-:""919.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Place>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Place>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Location>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/District108552138>,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoGeoEntity>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/AdministrativeDistrict108491826>,,,,,,,X,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Populated_places_in_Abbottabad_District>,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,,,,X,,,,
<http://dbpedia.org/ontology/timeZone>:-:<http://dbpedia.org/resource/Pakistan_Standard_Time>,,,X,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Settlement>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PopulatedPlacesInAbbottabadDistrict>,,,,,,,X,X,,,,
"<http://dbpedia.org/ontology/utcOffset>:-:""+5""",,,,,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Tract108673395>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/PopulatedPlace>,,,,,,,X,X,,,,
"<http://www.georss.org/georss/point>:-:""34.08 73.06""",X,,,,X,,,,,,,X
"<http://www.w3.org/2003/01/geo/wgs84_pos#lat>:-:""34.08""^^<http://www.w3.org/2001/XMLSchema#float>",,,,,X,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PopulatedPlacesInKhyberPakhtunkhwa>,,X,,X,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity>,,,,,,,,X,,,,
<http://dbpedia.org/ontology/country>:-:<http://dbpedia.org/resource/Pakistan>,,,X,,,X,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/GeographicalArea108574314>,,,,,,,,X,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Jalalia""@en",,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Location100027167>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Site108651247>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,X,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q486972>,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing>,,,,,,,X,X,,,,
