,<http://www.w3.org/2003/01/geo/wgs84_pos#long>,<http://dbpedia.org/ontology/populationTotal>,<http://dbpedia.org/ontology/thumbnail>,<http://dbpedia.org/ontology/isPartOf>,<http://dbpedia.org/ontology/timeZone>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://www.georss.org/georss/point>,<http://dbpedia.org/ontology/country>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/type>,<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,<http://dbpedia.org/ontology/utcOffset>,<http://xmlns.com/foaf/0.1/depiction>
"<http://www.w3.org/2003/01/geo/wgs84_pos#long>:-:""75.77102""^^<http://www.w3.org/2001/XMLSchema#float>",X,,,,,,X,,,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Kotumachagi""@en",,,X,,,X,,,,,X,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,,,,,,X,,,,,
<http://dbpedia.org/ontology/country>:-:<http://dbpedia.org/resource/India>,,,,,,,,X,X,X,,,,,
"<http://www.georss.org/georss/point>:-:""15.54259 75.77102""",X,,,,,,X,,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Village108672738>,,,X,,,,,,,X,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity>,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Settlement108672562>,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Location100027167>,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Place>,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Settlement>,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/VillagesInGadagDistrict>,,,X,,,,,,X,X,,X,,,X
<http://dbpedia.org/ontology/timeZone>:-:<http://dbpedia.org/resource/Indian_Standard_Time>,,,,,X,,,X,X,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Region108630985>,,,,,,,,,,X,,,,,
"<http://www.w3.org/2003/01/geo/wgs84_pos#lat>:-:""15.54259""^^<http://www.w3.org/2001/XMLSchema#float>",,,,,,,X,,,,,,X,,
<http://dbpedia.org/ontology/isPartOf>:-:<http://dbpedia.org/resource/Karnataka>,,,,X,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/PopulatedPlace>,,,,,,,,,,X,,,,,
<http://xmlns.com/foaf/0.1/depiction>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/KotumachagiVillageTemple.jpg>,,,X,,,X,,,,X,X,X,,,X
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Villages_in_Gadag_district>,,,X,,,,,,X,X,,X,,,X
"<http://xmlns.com/foaf/0.1/name>:-:""ಕೋಟುಮಚಗಿ""@en",,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Village>,,,X,,,,,,,X,,X,,,X
<http://dbpedia.org/ontology/thumbnail>:-:<http://commons.wikimedia.org/wiki/Special:FilePath/KotumachagiVillageTemple.jpg?width=300>,,,X,,,X,,,,X,X,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/GeographicalArea108574314>,,,,,,,,,,X,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Kotumachagi""@en",,,X,,,X,,,,,X,,,,X
"<http://dbpedia.org/ontology/utcOffset>:-:""+5:30""",,,,,,,,,,,,,,X,
"<http://dbpedia.org/ontology/populationTotal>:-:""6895""^^<http://www.w3.org/2001/XMLSchema#nonNegativeInteger>",,X,,,,,,,X,X,,,,,
<http://dbpedia.org/ontology/type>:-:<http://dbpedia.org/resource/Village>,,,X,,,,,,,X,,X,,,X
<http://dbpedia.org/ontology/isPartOf>:-:<http://dbpedia.org/resource/Gadag-Betageri>,,,,X,,,,,X,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoGeoEntity>,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Location>,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Place>,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing>,,,,,,,,,X,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q532>,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,X,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q486972>,,,,,,,,,,X,,,,,
