,<http://www.w3.org/2003/01/geo/wgs84_pos#long>,<http://dbpedia.org/ontology/prominence>,<http://dbpedia.org/ontology/mountainRange>,<http://dbpedia.org/ontology/locatedInArea>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://www.georss.org/georss/point>,<http://xmlns.com/foaf/0.1/name>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://dbpedia.org/ontology/nationalTopographicSystemMapNumber>,<http://dbpedia.org/ontology/elevation>,<http://www.w3.org/2003/01/geo/wgs84_pos#lat>
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/GeologicalFormation109287968>,,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Mountains_of_South_Carolina>,,,X,X,X,,X,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Mountain>,,,,,X,,X,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity>,,,,,,,,,X,,,
"<http://dbpedia.org/ontology/nationalTopographicSystemMapNumber>:-:""USGSTable Rock""",,,,,,,,,,X,,
"<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Protected_areas_of_Pickens_County,_South_Carolina>",,,,X,,,,X,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Location>,,,,,,,,,X,,,
"<http://www.w3.org/2003/01/geo/wgs84_pos#lat>:-:""35.03361""^^<http://www.w3.org/2001/XMLSchema#float>",,,,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Place>,,,,,,,,,X,,,
"<http://www.georss.org/georss/point>:-:""35.033611111111114 -82.74138888888889""",,,,,,X,,,,,,X
