,<http://www.w3.org/2003/01/geo/wgs84_pos#long>,<http://dbpedia.org/ontology/birthPlace>,<http://dbpedia.org/ontology/country>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/2000/01/rdf-schema#seeAlso>,<http://dbpedia.org/ontology/region>,<http://dbpedia.org/ontology/populationTotal>,<http://www.georss.org/georss/point>,<http://dbpedia.org/ontology/location>,<http://dbpedia.org/ontology/minimumElevation>,<http://dbpedia.org/ontology/maximumElevation>,<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,<http://dbpedia.org/ontology/department>,<http://dbpedia.org/ontology/thumbnail>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/postalCode>,<http://dbpedia.org/ontology/inseeCode>,<http://dbpedia.org/ontology/deathPlace>,<http://dbpedia.org/ontology/area>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://dbpedia.org/ontology/elevation>,<http://xmlns.com/foaf/0.1/depiction>
"<http://dbpedia.org/ontology/elevation>:-:""10.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,X,,,,,,,,,,,,X,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Princess_Béatrice_of_Bourbon-Two_Sicilies>,,X,,X,X,,,,,,,,,,,,,,X,,X,,
<http://dbpedia.org/ontology/country>:-:<http://dbpedia.org/resource/France>,,,X,,X,,,,,,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/area>:-:""8.959E7""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,,,,,,,,,,,X,,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Abdellah_Ezbiri>,,X,,,,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,,,,,,,,,,,,,,,X,,X,,
"<http://xmlns.com/foaf/0.1/name>:-:""Saint-Raphaël""@en",,,,,,,,,,,,,,,,X,,,X,,,,
<http://dbpedia.org/ontology/location>:-:<http://dbpedia.org/resource/Stade_Louis_Hon>,,,,,,,,,X,,,,,X,,,,,X,,,,X
"<http://dbpedia.org/ontology/minimumElevation>:-:""0.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,X,,,,,,,,,,,,,
<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Earvin_N'Gapeth>,,X,,,,,,,,,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/birthPlace>:-:<http://dbpedia.org/resource/Prince_Carlo,_Duke_of_Castro>",,X,,X,X,,,,,,,,,X,,,,,X,,X,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoGeoEntity>,,,,,,,,,,,,,,,,,,,X,,X,,
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Ralph_Paget>,,,,,,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,,,,,,,,,,,,X,,X,,
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Shahan_Shahnour>,,,,,,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/AdministrativeDistrict108491826>,,,,,,,,,,,,,,X,,,,,X,,X,,X
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Henri_Guisol>,,,,,,,,,,,,,,,,,,,X,,,,
<http://www.w3.org/2000/01/rdf-schema#seeAlso>:-:<http://dbpedia.org/resource/Twin_towns_and_sister_cities>,,,,,X,,,,,,,,,X,,,X,,X,,,,X
<http://dbpedia.org/ontology/deathPlace>:-:<http://dbpedia.org/resource/Sim_(actor)>,,,,,,,,,,,,,,,,,,,X,,X,,
