,<http://dbpedia.org/ontology/department>,<http://www.w3.org/2003/01/geo/wgs84_pos#long>,<http://dbpedia.org/ontology/populationTotal>,<http://dbpedia.org/ontology/inseeCode>,<http://dbpedia.org/ontology/elevation>,<http://dbpedia.org/ontology/postalCode>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://www.georss.org/georss/point>,<http://dbpedia.org/ontology/country>,<http://dbpedia.org/ontology/minimumElevation>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/area>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/maximumElevation>,<http://dbpedia.org/ontology/region>,<http://www.w3.org/2003/01/geo/wgs84_pos#lat>
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Sauxillanges""@en",,,,,,,X,,,,,,,X,,,
<http://dbpedia.org/ontology/region>:-:<http://dbpedia.org/resource/Auvergne_(region)>,,,,,,,,,,,,,X,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Region108630985>,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Settlement>,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/PhysicalEntity100001930>,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/District108552138>,,,,,,,,,,,,,X,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Communes_of_Puy-de-Dôme>,X,,,,,,,,,,X,,X,,,,
"<http://www.w3.org/2003/01/geo/wgs84_pos#long>:-:""3.372""^^<http://www.w3.org/2001/XMLSchema#float>",,X,,,,,,X,,,,,,,,,
"<http://www.georss.org/georss/point>:-:""45.551 3.372""",,X,,,,,,X,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Object100002684>,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Commune108541609>,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Place>,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/CommunesOfPuy-de-D%C3%B4me>,,,,,,,,,,,X,,X,,,,
"<http://dbpedia.org/ontology/area>:-:""2.49E7""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Location>,,,,,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/maximumElevation>:-:""667.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,,,,,,X,,
"<http://dbpedia.org/ontology/minimumElevation>:-:""418.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,,,,,,X,,,,,,,
"<http://dbpedia.org/ontology/elevation>:-:""449.0""^^<http://www.w3.org/2001/XMLSchema#double>",,,,,X,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoLegalActorGeo>,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoGeoEntity>,,,,,,,,,,,,,X,,,,
<http://dbpedia.org/ontology/department>:-:<http://dbpedia.org/resource/Puy-de-Dôme>,X,,,,,,,,,,X,,,,,,
<http://dbpedia.org/ontology/country>:-:<http://dbpedia.org/resource/France>,,,,,,,,,X,,,,,,,,
"<http://dbpedia.org/ontology/inseeCode>:-:""63415""",,,,X,,,,,,,,,,,,,
"<http://www.w3.org/2003/01/geo/wgs84_pos#lat>:-:""45.551""^^<http://www.w3.org/2001/XMLSchema#float>",,,,,,,,X,,,,,,,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Place>,,,,,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/postalCode>:-:""63490""",,,,,,X,,,,,,,,,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Sauxillanges""@en",,,,,,,X,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity>,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/PopulatedPlace>,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/Location100027167>,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/class/yago/AdministrativeDistrict108491826>,,,,,,,,,,,,,X,,,,
"<http://dbpedia.org/ontology/populationTotal>:-:""1151""^^<http://www.w3.org/2001/XMLSchema#nonNegativeInteger>",,,X,,,,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q486972>,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing>,,,,,,,,,,,,,X,,,,
